publication_key,year,title_short,venue,doi,openalex_citations,google_scholar_citations,google_scholar_retrieved_date,google_scholar_source_url,google_scholar_match_notes
doi:10.22004/ag.econ.317782,2021,Potential Impacts of Hard Infrastructure Development on Food and Agricultural Trade,Journal of Food Distribution Research,10.22004/ag.econ.317782,,,,,
doi:10.1002/agr.21688,2021,Promoting Farmers Markets via Information Nudges and Coupons,Agribusiness: An International Journal,10.1002/agr.21688,10,,,,
titleyear:recent trends in pa technology adoption and bundling in corn|2021,2021,Recent Trends in PA Technology Adoption and Bundling in Corn Production,Western Economics Forum,,,,,,
doi:10.1038/s41598-021-82574-w,2021,Risk compensation and face mask mandates during the COVID-19 pandemic,Scientific Reports,10.1038/s41598-021-82574-w,102,,,,
doi:10.1093/qopen/qoab018,2021,Safeguard Measures and Fresh Produce Trade: U.S. Blueberry Imports,Q Open,10.1093/qopen/qoab018,2,,,,
doi:10.1002/aepp.13130,2021,School Meals and Quality of Household Food Acquisitions,Applied Economic Perspectives and Policy,10.1002/aepp.13130,1,,,,
doi:10.1016/j.buildenv.2021.108390,2021,Sociodemographic variations in indoor environmental quality and student performance,Building and Environment,10.1016/j.buildenv.2021.108390,18,,,,
doi:10.1111/josh.13013,2021,The Impact of State Farm to School Procurement Incentives on School Purchasing Decisions,Journal of School Health,10.1111/josh.13013,10,,,,
doi:10.1093/qopen/qoab005,2021,"The Impacts of COVID-19 on GDP, food prices, and food security",Q Open,10.1093/qopen/qoab005,51,,,,
doi:10.1111/ajae.12212,2021,The Importance of Agriculture in the Economy: Impacts from COVID-19,American Journal of Agricultural Economics,10.1111/ajae.12212,189,,,,
doi:10.3368/wple.97.3.030320-0031r1,2021,The Importance of Well Yield in Groundwater Demand Specification,Land Economics,10.3368/wple.97.3.030320-0031r1,1,,,,
doi:10.1038/s41559-020-01372-1,2021,The effectiveness of national biodiversity investments to protect the wealth of nature,Nature Ecology and Evolution,10.1038/s41559-020-01372-1,47,,,,
doi:10.54605/fec20210204,2021,Time Reallocation and the Cost and Benefit of School Closures During an Epidemic,Frontiers of Economics in China,10.54605/fec20210204,1,,,,
doi:10.1016/j.foodpol.2021.102045,2021,Too Cool for Farm to School? Determinants of Farm to School Programming Continuation,Food Policy,10.1016/j.foodpol.2021.102045,15,,,,
doi:10.1007/s11119-021-09807-w,2021,Understanding the Farm Data Lifecycle,Precision Agriculture,10.1007/s11119-021-09807-w,19,,,,
doi:10.3390/su13169375,2021,Valuing Cattle Manure as an Agricultural Resource for Efficiency and Environmental Sustainability,Sustainability,10.3390/su13169375,2,,,,
doi:10.1016/j.rala.2021.02.004,2022,Adaptive Grazing Management in Semiarid Rangelands: An Outcome-driven Focus,Rangelands,10.1016/j.rala.2021.02.004,30,,,,
doi:10.5032/jae.2022.03135,2022,Agrarianism in Agricultural Education: A Narrative Study,Journal of Agricultural Education,10.5032/jae.2022.03135,0,,,,
titleyear:agritourism extension in the united states|2022,2022,Agritourism Extension in the United States,Applied Economics Teaching Resources,,,,,,
doi:10.1016/j.rala.2022.05.003,2022,Balancing Ecosystem Service Outcomes at the Ranch-Scale in Shortgrass Steppe,Rangelands,10.1016/j.rala.2022.05.003,10,,,,
doi:10.1111/ajae.12224,2022,Conformity and Conservation: Home Landscaping and Water Conservation,American Journal of Agricultural Economics,10.1111/ajae.12224,9,,,,
doi:10.1002/wat2.1586,2022,Data availability and sector-specific frameworks restrict drought impact quantification,WIREs Water,10.1002/wat2.1586,1,,,,
doi:10.1080/21606544.2022.2059015,2022,Does air pollution increase electric vehicle adoption,Journal of Environmental Economics and Policy,10.1080/21606544.2022.2059015,11,,,,
doi:10.1093/qopen/qoac028,2022,Economic Assessment of Foot-and-Mouth Disease Outbreaks in Brazil,Q Open,10.1093/qopen/qoac028,15,,,,
titleyear:economic consequences of the wolf comeback in the western un|2022,2022,Economic Consequences of the Wolf Comeback in the Western United States,Western Economics Forum,,,,,,
doi:10.1016/j.jenvman.2021.113779,2022,Economic and Environmental Impacts of Ballast Water Management on SIDS and LDCs,Journal of Environmental Management,10.1016/j.jenvman.2021.113779,2,,,,
doi:10.1086/720303,2022,Ecosystem Services and Land Rental Markets: Producer Costs of Bat Population Crashes,Journal of the Association of Environmental and Resource Economists,10.1086/720303,14,,,,
doi:10.1016/j.smallrumres.2021.106611,2022,Effects of Feed Efficiency and Diet on Performance and Carcass Characteristics in Growing Wether Lambs,Small Ruminant Research,10.1016/j.smallrumres.2021.106611,20,,,,
doi:10.15232/aas.2022-02322,2022,Effects of Harvest Season on Carcass Characteristics of Lambs Harvested in the Intermountain West,Applied Animal Science,10.15232/aas.2022-02322,3,,,,
doi:10.13031/jash.15039,2022,Estimating the Nonfatal Injury Undercount in Agriculture from 2004-2019,Journal of Agricultural Safety and Health,10.13031/jash.15039,8,,,,
doi:10.1016/j.rama.2022.09.003,2022,Evaluating economic impacts of prairie dog-cattle competition on ranching enterprises,Rangeland Ecology & Management,10.1016/j.rama.2022.09.003,10,,,,
doi:10.1016/j.jebo.2021.12.012,2022,Experimental Evidence of Common Pool Resource Use in the Presence of Uncertainty,Journal of Economic Behavior and Organization,10.1016/j.jebo.2021.12.012,22,,,,
doi:10.1016/j.ijpe.2022.108534,2022,Facility Locations in the Fresh Produce Supply Chain,International Journal of Production Economics,10.1016/j.ijpe.2022.108534,27,,,,
titleyear:farm level economics of bioenergy in the upper missouri rive|2022,2022,Farm-Level Economics of Bioenergy in the Upper Missouri River Basin,Journal of the American Society of Farm Managers and Rural Appraisers,,,,,,
doi:10.1002/agr.21743,2022,Food Retail Profits Competition and the Great Recession,Agribusiness: An International Journal,10.1002/agr.21743,6,,,,
doi:10.1111/ajae.12231,2022,Impacts of Block-Rate Energy Pricing on Groundwater Demand in Irrigated Agriculture,American Journal of Agricultural Economics,10.1111/ajae.12231,11,,,,
doi:10.1029/2021wr030712,2022,Implicit and Explicit Biases for Recycled Water and Tap Water,Water Resources Research,10.1029/2021wr030712,19,,,,
doi:10.1007/s10640-022-00690-1,2022,Lottery Incentives and Resource Management: Evidence from AgDRIP,Environmental and Resource Economics,10.1007/s10640-022-00690-1,3,,,,
doi:10.1016/j.idm.2022.07.003,2022,Model-Based Evaluation of Policy Impacts and COVID-19 Risk at Long Term Care Facilities,Infectious Disease Modelling,10.1016/j.idm.2022.07.003,13,,,,
doi:10.1038/s41598-022-12253-x,2022,Modeling the systemic risks of COVID-19 on the wildland firefighting workforce,Scientific Reports,10.1038/s41598-022-12253-x,5,,,,
doi:10.1016/j.wre.2022.100212,2022,More Risk More Money: When are Payments for Water Savings from Limited Irrigation Profitable,Water Resources and Economics,10.1016/j.wre.2022.100212,10,,,,
doi:10.22004/ag.econ.329528,2022,Opportunities and Challenges Associated with Carbon Farming for US Row-Crop Producers,Choices,10.22004/ag.econ.329528,,,,,
doi:10.1002/aepp.13256,2022,Opportunities to support beginning farmers and ranchers in the 2023 Farm Bill,Applied Economic Perspectives and Policy,10.1002/aepp.13256,18,,,,
doi:10.1088/2752-5309/ac7d69,2022,Outside in: indoor and outdoor particulate air quality during wildfire smoke events,Environmental Research: Health,10.1088/2752-5309/ac7d69,52,,,,
doi:10.1002/aepp.13302,2022,Potential Beef Cattle Topics in the 2023 Farm Bill,Applied Economic Perspectives and Policy,10.1002/aepp.13302,0,,,,
doi:10.1111/1477-9552.12440,2022,Precision Agriculture Adoption and Technical Efficiency,Journal of Agricultural Economics,10.1111/1477-9552.12440,9,,,,
doi:10.1111/csp2.12632,2022,Rapid changes in public perception toward wolves,Conservation Science,10.1111/csp2.12632,43,,,,
doi:10.1016/j.agwat.2022.107764,2022,Remote sensing of field-scale irrigation withdrawals in the central Ogallala aquifer,Agricultural Water Management,10.1016/j.agwat.2022.107764,23,,,,
doi:10.3390/su14052859,2022,Returns to Disease Resistance Research when Pest Management is an Option,Sustainability,10.3390/su14052859,7,,,,
doi:10.1029/2022jd037446,2022,Smoke-Driven Changes in Photosynthetically Active Radiation During US Growing Season,Journal of Geophysical Research: Atmospheres,10.1029/2022jd037446,11,,,,
doi:10.1016/j.rala.2021.02.002,2022,Social learning lessons from Collaborative Adaptive Rangeland Management,Rangelands,10.1016/j.rala.2021.02.002,28,,,,
doi:10.1016/j.rala.2022.04.002,2022,Stocking rate and marketing dates for yearling steers grazing rangelands,Rangelands,10.1016/j.rala.2022.04.002,11,,,,
doi:10.1007/s00181-021-02123-2,2022,Strategic Supermarket Pricing of Private Labels and Manufacturer Brands,Empirical Economics,10.1007/s00181-021-02123-2,5,,,,
doi:10.1371/journal.pone.0261833,2022,Summer Crowds: USFS Campground Reservations During the COVID-19 Pandemic,PLOS ONE,10.1371/journal.pone.0261833,10,,,,
doi:10.1146/annurev-resource-111920-014804,2022,The Economics of Wildfire in the United States,Annual Review of Resource Economics,10.1146/annurev-resource-111920-014804,79,,,,
doi:10.1002/aepp.13223,2022,The Impact of Crop Insurance on Farm Financial Outcomes,Applied Economic Perspectives and Policy,10.1002/aepp.13223,2,,,,
doi:10.1111/coep.12564,2022,The Local Effects of Federal Law Enforcement Policies: Sanctuary Jurisdictions and Crime,Contemporary Economic Policy,10.1111/coep.12564,5,,,,
doi:10.1029/2022gh000648,2022,The Unintended Benefits of the Conservation Reserve Program for Air Quality,GeoHealth,10.1029/2022gh000648,9,,,,
doi:10.1108/afr-05-2021-0056,2022,The profitability implications of sales through local food markets for beginning farmers,Agricultural Finance Review,10.1108/afr-05-2021-0056,22,,,,
doi:10.1108/afr-05-2021-0070,2022,Unique Financing Strategies Among Beginning Farmers and Ranchers,Agricultural Finance Review,10.1108/afr-05-2021-0070,12,,,,
doi:10.1016/j.forpol.2023.103071,2023,A Spatial Dependent Approach to Assessing Impacts of Sustainable Forestry Initiative Certification,Forest Policy and Economics,10.1016/j.forpol.2023.103071,0,,,,
doi:10.1017/inp.2023.8,2023,A ranching economic analysis of ventenata control in northeast Wyoming,Invasive Plant Science and Management,10.1017/inp.2023.8,4,,,,
doi:10.1016/j.scitotenv.2023.161964,2023,Assessment of vulnerability to water shortage in semi-arid river basins,Science of the Total Environment,10.1016/j.scitotenv.2023.161964,34,,,,
doi:10.1080/00343404.2023.2166914,2023,Beer sales in grocery and convenience stores: a glass half-full for craft brewers,Regional Studies,10.1080/00343404.2023.2166914,14,,,,
doi:10.1108/afr-05-2023-0054,2023,Beginning farmer status and financial performance differentials,Agricultural Finance Review,10.1108/afr-05-2023-0054,1,,,,
doi:10.1016/j.jort.2023.100690,2023,Camping in Clearcuts: Impacts of Timber Harvesting on USFS Campground Utilization,Journal of Outdoor Recreation and Tourism,10.1016/j.jort.2023.100690,5,,,,
doi:10.1080/09644016.2022.2066285,2023,Climate Cooperation in the Shadow of Solar Geoengineering: Moral Hazard Conjecture,Environmental Politics,10.1080/09644016.2022.2066285,50,,,,
doi:10.1007/s10584-023-03612-2,2023,Climate Cooperation with Risky Solar Geoengineering,Climatic Change,10.1007/s10584-023-03612-2,6,,,,
doi:10.22004/ag.econ.320671,2023,Comparative Profitability of Irrigated Cropping Activities for Temporary Water Transfers,Journal of Agricultural and Resource Economics,10.22004/ag.econ.320671,,,,,
doi:10.1002/aepp.13383,2023,Coping with COVID-19 Shocks in Rural Nepal,Applied Economic Perspectives and Policy,10.1002/aepp.13383,4,,,,
doi:10.1016/j.ocecoaman.2023.106726,2023,Crowdfunding marine and coastal parks and protected areas,Ocean & Coastal Management,10.1016/j.ocecoaman.2023.106726,10,,,,
doi:10.3390/agriculture13040831,2023,Developing a Crop Water Production Function for Alfalfa Under Deficit Irrigation,Agriculture,10.3390/agriculture13040831,8,,,,
doi:10.1111/ajae.12404,2023,Dynamic Model of Entry: Dollar Stores,American Journal of Agricultural Economics,10.1111/ajae.12404,16,,,,
doi:10.1111/conl.12955,2023,Essential planetary health workers: Positioning rangers within global policy,Conservation Letters,10.1111/conl.12955,22,,,,
doi:10.1108/afr-02-2023-0027,2023,Estimating US Farmers Speed of Climate Change Adaptation: Subsurface Tile Drainage,Agricultural Finance Review,10.1108/afr-02-2023-0027,1,,,,
doi:10.1002/jaa2.93,2023,Estimating the Ex-Ante Adoption Determinants of Novel Cropping Systems with Nonpecuniary Benefits,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.93,0,,,,
doi:10.1287/mnsc.2020.02074,2023,Field experimental evidence on the effect of pricing on residential electricity conservation,Management Science,10.1287/mnsc.2020.02074,29,,,,
doi:10.1007/s12571-022-01322-8,2023,Food Insecurity Among Immigrant Populations in the United States,Food Security,10.1007/s12571-022-01322-8,11,,,,
doi:10.1002/aepp.13275,2023,Food Insecurity and Time Use in Elderly vs Non-Elderly,Applied Economic Perspectives and Policy,10.1002/aepp.13275,8,,,,
doi:10.1016/j.wre.2023.100214,2023,Further evidence on social comparison and residential water use,Water Resources and Economics,10.1016/j.wre.2023.100214,,,,,
doi:10.1108/bfj-09-2021-1000,2023,Geographical Indications Prices and Marketing Margins,British Food Journal,10.1108/bfj-09-2021-1000,5,,,,
doi:10.22004/ag.econ.320675,2023,I say Milk you say Mylk: Demand separability and substitution in a broadened milk category,Journal of Agricultural and Resource Economics,10.22004/ag.econ.320675,,,,,
doi:10.56103/nactaj.v67i1.94,2023,Impacts of the COVID-19 Pandemic on Student Performance and Perceptions of Learning,NACTA Journal,10.56103/nactaj.v67i1.94,2,,,,
doi:10.1016/j.jeem.2023.102820,2023,Linking carbon markets with different initial conditions,Journal of Environmental Economics and Management,10.1016/j.jeem.2023.102820,9,,,,
doi:10.22004/ag.econ.333520,2023,Perspectives on Diversity Equity and Inclusion in the Agricultural and Applied Economics Profession,Applied Economics Teaching Resources,10.22004/ag.econ.333520,,,,,
doi:10.1002/jaa2.73,2023,Potential economic impacts of foot-and-mouth disease in Brazil,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.73,10,,,,
doi:10.22004/ag.econ.339678,2023,Price Transmission and Asymmetry in the Colorado Potato Supply Chain,Journal of Food Distribution Research,10.22004/ag.econ.339678,,,,,
doi:10.1017/s1742170523000145,2023,Producers Marketing a Novel Crop: A Field-Level View of Hemp Market Channels,Renewable Agriculture and Food Systems,10.1017/s1742170523000145,5,,,,
doi:10.1016/j.jenvman.2022.116420,2023,Ranch-Level Economic Benefits of Working Lands Greater Sage-Grouse Conservation Programs,Journal of Environmental Management,10.1016/j.jenvman.2022.116420,11,,,,
doi:10.22004/ag.econ.322851,2023,Reductions in National Forest Campground Reservation Demand from Wildfire,Journal of Agricultural and Resource Economics,10.22004/ag.econ.322851,,,,,
doi:10.1007/s11151-023-09926-w,2023,Retail Markups and Discount-Store Entry,Review of Industrial Organization,10.1007/s11151-023-09926-w,6,,,,
doi:10.1002/jaa2.78,2023,"Seasons, Stress, Salience, and Support for Cooperative Groundwater Management",Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.78,2,,,,
doi:10.1016/j.jclepro.2023.139224,2023,Sustainability of lettuce production: local and centralized food production,Journal of Cleaner Production,10.1016/j.jclepro.2023.139224,22,,,,
doi:10.1002/aepp.13340,2023,The Economics of Property Rights in Digital Farming Data,Applied Economic Perspectives and Policy,10.1002/aepp.13340,10,,,,
doi:10.22004/ag.econ.339590,2023,The Economics of Wildland Firefighting Aviation Procurement and Effectiveness,Western Economics Forum,10.22004/ag.econ.339590,,,,,
doi:10.1016/j.cdnut.2023.100292,2023,The Influence of Food Assistance Program Participation on Home Food Environment,Current Developments in Nutrition,10.1016/j.cdnut.2023.100292,0,,,,
doi:10.1093/qopen/qoad027,2023,Type and Frequency of Wild Pig-Domestic Livestock Contacts and Operator Concern,Q Open,10.1093/qopen/qoad027,5,,,,
doi:10.1093/jofore/fvac042,2023,Wildfire Response: A System on the Brink,Journal of Forestry,10.1093/jofore/fvac042,20,,,,
doi:10.1016/j.gecco.2023.e02576,2023,Willingness to pay for reintroducing wolves in a divided voting base,Global Ecology and Conservation,10.1016/j.gecco.2023.e02576,6,,,,
doi:10.1016/j.foodpol.2024.102727,2024,A comment on USDA Food Business Centers: Collaborations to nurture innovation,Food Policy,10.1016/j.foodpol.2024.102727,2,,,,
doi:10.1371/journal.pwat.0000278,2024,A review of residential water conservation policies,PLOS Water,10.1371/journal.pwat.0000278,11,,,,
doi:10.22004/ag.econ.348009,2024,Agricultural Producer Decision Making around Water Conservation in the Upper Colorado River Basin,Choices,10.22004/ag.econ.348009,,,,,
doi:10.1111/ajae.12439,2024,Air pollution weather and agricultural worker productivity,American Journal of Agricultural Economics,10.1111/ajae.12439,17,,,,
titleyear:an outlook on evidence based policymaking|2024,2024,An Outlook on Evidence-Based Policymaking,Choices,,,,,,
doi:10.1093/tas/txae108,2024,An analysis of preslaughter management factors on welfare and meat quality outcomes,Translational Animal Science,10.1093/tas/txae108,5,,,,
doi:10.3390/tourhosp5030032,2024,Assessing Economic Impacts of Mile High 420 Festival in Colorado,Tourism and Hospitality,10.3390/tourhosp5030032,0,,,,
doi:10.1016/j.rama.2024.06.004,2024,Beef Cattle Producer Perspectives on Virtual Fencing,Rangeland Ecology & Management,10.1016/j.rama.2024.06.004,17,,,,
doi:10.1093/tas/txad150,2024,Benchmarking Current Pre-Slaughter Management Factors Welfare Indicators and Meat Quality,Translational Animal Science,10.1093/tas/txad150,6,,,,
doi:10.3390/foods13193124,2024,Bilateral trade welfare impacts of India’s export ban of non-basmati rice using the Global Partial Equilibrium Simulation Model (GSIM),Foods,10.3390/foods13193124,6,,,,
doi:10.1177/08912424241282425,2024,Building Representative State Groupings in an Input-Output Model for Nutrition Incentive Programs,Economic Development Quarterly,10.1177/08912424241282425,1,,,,
doi:10.1080/19439342.2024.2319657,2024,Challenges to Groundnut Value Chain Development: Lessons from an Attempted Experiment in Ghana,Journal of Development Effectiveness,10.1080/19439342.2024.2319657,2,,,,
doi:10.22004/ag.econ.352133,2024,Consumer Spending on Plant-Based Meat Alternatives,Choices,10.22004/ag.econ.352133,,,,,
doi:10.1016/j.meatsci.2024.109597,2024,Consumer willingness to pay for beef based on color and price discounts,Meat Science,10.1016/j.meatsci.2024.109597,24,,,,
doi:10.1111/csp2.13273,2024,Cost-benefit analysis as a decision tool for conservation planning: Nyerere-Selous-Udzungwa Corridor,Conservation Science and Practice,10.1111/csp2.13273,2,,,,
doi:10.1162/99608f92.24c26aa9,2024,Creating Engagements: Bringing the user into Data Democratization,Harvard Data Science Review,10.1162/99608f92.24c26aa9,3,,,,
doi:10.1007/s11747-024-01003-2,2024,Delivering affordable clean energy to consumers,Journal of the Academy of Marketing Science,10.1007/s11747-024-01003-2,10,,,,
doi:10.1108/jm2-02-2024-0042,2024,Determining the Optimal Food Hub Location in the Fresh Produce Supply Chain,Journal of Modelling in Management,10.1108/jm2-02-2024-0042,2,,,,
doi:10.1002/aepp.13332,2024,Disparities in Food Insecurity among Black and White Households,Applied Economic Perspectives and Policy,10.1002/aepp.13332,12,,,,
doi:10.1371/journal.pone.0310268,2024,Economic effects of livestock disease burden in Ethiopia: a CGE analysis,PLOS ONE,10.1371/journal.pone.0310268,14,,,,
doi:10.22004/ag.econ.342181,2024,Economy-Wide Effects of Bovine Spongiform Encephalopathy in Brazil,Journal of Agricultural and Resource Economics,10.22004/ag.econ.342181,,,,,
doi:10.1002/jaa2.95,2024,Farm to School Programming Spillovers and Households Fruits and Vegetables Purchases,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.95,1,,,,
doi:10.3368/le.100.4.060823-0052r,2024,Fat Tails and WTP: Kristrom revisited,Land Economics,10.3368/le.100.4.060823-0052r,3,,,,
titleyear:feasibility of integrating cover crops into irrigated barley|2024,2024,Feasibility of Integrating Cover Crops into Irrigated Barley,Journal of the American Society of Farm Managers and Rural Appraisers,,,,,,
doi:10.1002/jaa2.131,2024,Federal Economic Data on Local and Regional Food Producers,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.131,0,,,,
doi:10.1016/j.rama.2024.01.007,2024,Flexible Stocking: Livestock Production and Economic Responses in Mixed-Grass Prairie,Rangeland Ecology & Management,10.1016/j.rama.2024.01.007,2,,,,
doi:10.1002/aepp.13468,2024,Global Economic Effects of War-Induced Agricultural Export Declines from Ukraine,Applied Economic Perspectives and Policy,10.1002/aepp.13468,24,,,,
doi:10.22004/ag.econ.348931,2024,Grand Challenge: Safe Affordable Accessible and Acceptable Food,Choices,10.22004/ag.econ.348931,,,,,
doi:10.22004/ag.econ.342182,2024,Health News Environment and the Distribution of Diet Quality,Journal of Agricultural and Resource Economics,10.22004/ag.econ.342182,,,,,
doi:10.1029/2024wr037196,2024,Integrated water management under different water rights institutions,Water Resources Research,10.1029/2024wr037196,2,,,,
doi:10.1086/729841,2024,Intermittency or uncertainty? Impacts of renewable energy in electricity markets,Journal of the Association of Environmental and Resource Economists,10.1086/729841,10,,,,
doi:10.1086/728140,2024,International Climate Agreements under the Threat of Solar Geoengineering,Journal of the Association of Environmental and Resource Economists,10.1086/728140,9,,,,
doi:10.1016/j.ecoser.2024.101601,2024,Investing in the wealth of nature through biodiversity and ecosystem services finance solutions,Ecosystem Services,10.1016/j.ecoser.2024.101601,54,,,,
doi:10.1016/j.foodpol.2024.102672,2024,Measuring changes in pork demand and welfare effects of African swine fever,Food Policy,10.1016/j.foodpol.2024.102672,11,,,,
doi:10.1002/aepp.13454,2024,Measuring the Economic Contribution of Agricultural and Applied Economics Departments,Applied Economic Perspectives and Policy,10.1002/aepp.13454,0,,,,
doi:10.1088/2515-7620/ad82b5,2024,Net Zero Initiative in US Beef and Dairy Systems,Environmental Research Communications,10.1088/2515-7620/ad82b5,4,,,,
doi:10.1093/tas/txae035,2024,Pre-Slaughter Factors Affecting Mobility Blood Parameters Bruising and Muscle pH,Translational Animal Science,10.1093/tas/txae035,12,,,,
doi:10.1016/j.forpol.2023.103115,2024,Retention of Highly Qualified Wildland Firefighters in the Western US,Forest Policy and Economics,10.1016/j.forpol.2023.103115,8,,,,
doi:10.1111/ajae.12415,2024,Social Comparisons and Groundwater Use: Evidence from Colorado and Kansas,American Journal of Agricultural Economics,10.1111/ajae.12415,13,,,,
doi:10.1007/s10640-024-00854-1,2024,Solar Geoengineering Free-Driving and Conflict: An Experimental Investigation,Environmental and Resource Economics,10.1007/s10640-024-00854-1,4,,,,
doi:10.1002/jeq2.20599,2024,The LTAR Grazingland Common Experiment at the Central Plains Experimental Range,Journal of Environmental Quality,10.1002/jeq2.20599,11,,,,
doi:10.1146/annurev-resource-101623-093149,2024,The Nature of the Beast: Wildlife Valuation from the Iconic to the Ordinary,Annual Review of Resource Economics,10.1146/annurev-resource-101623-093149,2,,,,
