publication_key,oa_id,doi_raw,doi_clean,oa_title,oa_year,oa_date,oa_type,cited_by_count,oa_venue,oa_issn_l,oa_publisher,is_oa,is_retracted,n_authors
doi:10.1111/ajae.12231,W3165941821,https://doi.org/10.1111/ajae.12231,10.1111/ajae.12231,Impacts of<scp>Block‐Rate</scp>Energy Pricing on Groundwater Demand in Irrigated Agriculture,2021,2021-05-31,article,11,American Journal of Agricultural Economics,0002-9092,Wiley,FALSE,FALSE,4
doi:10.1002/aepp.13340,W4316653239,https://doi.org/10.1002/aepp.13340,10.1002/aepp.13340,The economics of property rights in digital farming data: Implications for farmland markets,2023,2023-01-16,article,10,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,3
doi:10.1002/jaa2.73,W4385067478,https://doi.org/10.1002/jaa2.73,10.1002/jaa2.73,Potential economic impacts of foot‐and‐mouth disease in Brazil: A case study for Mato Grosso and Paraná,2023,2023-07-20,article,10,Journal of the Agricultural and Applied Economics Association,2769-2485,Wiley,TRUE,FALSE,3
doi:10.1111/1477-9552.12440,W3161348351,https://doi.org/10.1111/1477-9552.12440,10.1111/1477-9552.12440,Precision agriculture technology adoption and technical efficiency,2021,2021-05-27,article,9,Journal of Agricultural Economics,0021-857X,Wiley,TRUE,FALSE,3
doi:10.1111/ajae.12503,W4405137934,https://doi.org/10.1111/ajae.12503,10.1111/ajae.12503,Mapping agents: A spatial economic analysis of agent location in the Federal Crop Insurance Program,2024,2024-12-07,article,1,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,2
doi:10.1029/2024wr037196,W4404038588,https://doi.org/10.1029/2024wr037196,10.1029/2024wr037196,Integrated Water Management Under Different Water Rights Institutions and Population Patterns: Methodology and Application,2024,2024-11-01,article,2,Water Resources Research,0043-1397,Wiley,TRUE,FALSE,5
doi:10.1371/journal.pone.0320316,W4409325059,https://doi.org/10.1371/journal.pone.0320316,10.1371/journal.pone.0320316,Externalities in wild pig damages on U.S. crop and livestock farms: The role of landowner actions and landscape heterogeneity,2025,2025-04-10,article,2,PLoS ONE,1932-6203,Public Library of Science,TRUE,FALSE,4
doi:10.1108/afr-02-2023-0027,W4386790550,https://doi.org/10.1108/afr-02-2023-0027,10.1108/afr-02-2023-0027,Estimating US farmers' speed of climate change adaptation: the case of subsurface tile drainage,2023,2023-09-15,article,1,Agricultural Finance Review,0002-1466,Emerald Publishing Limited,FALSE,FALSE,2
doi:10.1016/j.jeem.2025.103125,W4406602699,https://doi.org/10.1016/j.jeem.2025.103125,10.1016/j.jeem.2025.103125,Insurance and extraction incentives in a common pool resource: Evidence from groundwater use in the high plains,2025,2025-01-20,article,1,Journal of Environmental Economics and Management,0095-0696,Elsevier BV,FALSE,FALSE,5
doi:10.3389/fvets.2025.1637190,W4414087324,https://doi.org/10.3389/fvets.2025.1637190,10.3389/fvets.2025.1637190,"Incorporating virtual fencing to manage yearling steers on extensive rangelands: spatial behavior, growth performance, and enteric methane emissions",2025,2025-09-10,article,1,Frontiers in Veterinary Science,2297-1769,Frontiers Media,TRUE,FALSE,12
doi:10.1016/j.rama.2025.08.010,W4414479085,https://doi.org/10.1016/j.rama.2025.08.010,10.1016/j.rama.2025.08.010,Steer Growth Performance and Enteric Gas Flux Across Backgrounding Phases in the Western Great Plains,2025,2025-09-24,article,1,Rangeland Ecology & Management,1550-7424,Elsevier BV,TRUE,FALSE,13
doi:10.1111/ajae.70021,W4415487719,https://doi.org/10.1111/ajae.70021,10.1111/ajae.70021,Abatement subsidies for groundwater conservation,2025,2025-10-23,article,1,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,4
doi:10.1093/tas/txaf169,W7117588825,https://doi.org/10.1093/tas/txaf169,10.1093/tas/txaf169,Developing critical thinking and professional skills in animal science students through case-based learning and cognitive interventions,2025,2025-12-30,article,1,Translational Animal Science,2573-2102,Oxford University Press,TRUE,FALSE,4
doi:10.1186/s13021-026-00431-7,W7148776770,https://doi.org/10.1186/s13021-026-00431-7,10.1186/s13021-026-00431-7,Merging rigor and relevance in grazingland research: a comprehensive social-ecological monitoring approach,2026,2026-04-03,article,1,Carbon Balance and Management,1750-0680,Springer Science+Business Media,TRUE,FALSE,43
doi:10.1002/aepp.13223,W3018359190,https://doi.org/10.1002/aepp.13223,10.1002/aepp.13223,The impact of crop insurance on farm financial outcomes,2022,2022-01-03,article,2,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,4
doi:10.56103/nactaj.v67i1.94,W4382025137,https://doi.org/10.56103/nactaj.v67i1.94,10.56103/nactaj.v67i1.94,Impacts of the COVID-19 Pandemic on Student Performance and Perceptions of Learning,2023,2023-06-07,article,2,NACTA Journal,0149-4910,NA,TRUE,FALSE,3
doi:10.1086/714148,W3027908917,https://doi.org/10.1086/714148,10.1086/714148,Policy Leakage or Policy Benefit? Spatial Spillovers from Conservation Policies in Common Property Resources,2021,2021-03-02,article,4,Journal of the Association of Environmental and Resource Economists,2333-5955,University of Chicago Press,FALSE,FALSE,4
doi:10.3368/le.100.4.041023-0032r1,W4393161275,https://doi.org/10.3368/le.100.4.041023-0032r1,10.3368/le.100.4.041023-0032r1,Value of Farm Data in Farmland Rental Markets,2024,2024-03-25,article,1,Land Economics,0023-7639,University of Wisconsin Press,FALSE,FALSE,5
doi:10.1016/j.jenvman.2021.113779,W3196648901,https://doi.org/10.1016/j.jenvman.2021.113779,10.1016/j.jenvman.2021.113779,Economic and environmental impacts of ballast water management on Small Island Developing States and Least Developed Countries,2021,2021-09-29,article,2,Journal of Environmental Management,0301-4797,Elsevier BV,TRUE,FALSE,4
doi:10.1093/qopen/qoab018,W3203835871,https://doi.org/10.1093/qopen/qoab018,10.1093/qopen/qoab018,Safeguard measures and fresh produce trade: The case of US blueberry imports,2021,2021-01-01,article,2,Q Open,2633-9048,Oxford University Press,TRUE,FALSE,2
doi:10.20506/ecoamr.3539,W4402760575,https://doi.org/10.20506/ecoamr.3539,10.20506/ecoamr.3539,Forecasting the Fallout from AMR: Economic Impacts of Antimicrobial Resistance in Humans. A report from the EcoAMR series,2024,2024-09-01,report,10,NA,NA,NA,FALSE,FALSE,0
doi:10.1007/s10584-022-03441-9,W4298000409,https://doi.org/10.1007/s10584-022-03441-9,10.1007/s10584-022-03441-9,"Correction to: Changing climate, changing minds? The effects of natural disasters on public perceptions of climate change",2022,2022-09-01,erratum,2,Climatic Change,0165-0009,Springer Science+Business Media,TRUE,FALSE,5
doi:10.3386/w30080,W4281859237,https://doi.org/10.3386/w30080,10.3386/w30080,Producer Beliefs and Conservation: The Impact of Perceived Water Scarcity on Irrigation Technology Adoption,2022,2022-05-01,report,0,National Bureau of Economic Research,NA,NA,FALSE,FALSE,3
doi:10.5032/jae.2022.03135,W4386489467,https://doi.org/10.5032/jae.2022.03135,10.5032/jae.2022.03135,Agrarianism in Agricultural Education: A Narrative Study,2022,2022-09-30,article,0,Journal of Agricultural Education,1042-0541,American Association for Agricultural Education,TRUE,FALSE,3
doi:10.1093/jas/skaf322,W4414471519,https://doi.org/10.1093/jas/skaf322,10.1093/jas/skaf322,"Evaluation of cattle sub-species and growth-promoting technology on growth performance, carcass characteristics, and gas flux of steers finished in summer feedlot conditions",2025,2025-01-01,article,0,Journal of Animal Science,0021-8812,Oxford University Press,TRUE,FALSE,13
doi:10.3168/jds.2025-28132,W7167262554,https://doi.org/10.3168/jds.2025-28132,10.3168/jds.2025-28132,Integrating automated body condition scores and lactation data via optimization algorithms for maximized milk revenue and minimized cost of delayed conception in dairy cows,2026,2026-07-01,article,0,Journal of Dairy Science,0022-0302,Elsevier BV,TRUE,FALSE,4
doi:10.1080/09644016.2022.2066285,W4225406346,https://doi.org/10.1080/09644016.2022.2066285,10.1080/09644016.2022.2066285,Climate cooperation in the shadow of solar geoengineering: an experimental investigation of the moral hazard conjecture,2022,2022-05-04,article,50,Environmental Politics,0964-4016,Taylor & Francis,TRUE,FALSE,5
doi:10.1111/csp2.12632,W4211022438,https://doi.org/10.1111/csp2.12632,10.1111/csp2.12632,Rapid changes in public perception toward a conservation initiative,2022,2022-02-10,article,43,Conservation Science and Practice,2578-4854,Society for Conservation Biology,TRUE,FALSE,11
doi:10.1146/annurev-resource-101620-080426,W3187830255,https://doi.org/10.1146/annurev-resource-101620-080426,10.1146/annurev-resource-101620-080426,Agricultural Labor Supply,2021,2021-07-02,article,34,Annual Review of Resource Economics,1941-1340,Annual Reviews,FALSE,FALSE,3
doi:10.1016/j.jclepro.2025.146920,W4416408763,https://doi.org/10.1016/j.jclepro.2025.146920,10.1016/j.jclepro.2025.146920,Life cycle assessment of open and closed hydroponic systems for vegetable (tomato and cucumber) production in arid lands,2025,2025-11-20,article,7,Journal of Cleaner Production,0959-6526,Elsevier BV,TRUE,FALSE,8
doi:10.1007/s10584-021-03009-z,W3134417504,https://doi.org/10.1007/s10584-021-03009-z,10.1007/s10584-021-03009-z,Does solar geoengineering crowd out climate change mitigation efforts? Evidence from a stated preference referendum on a carbon tax,2021,2021-03-01,article,30,Climatic Change,0165-0009,Springer Science+Business Media,TRUE,FALSE,4
doi:10.1108/afr-05-2021-0056,W4293087468,https://doi.org/10.1108/afr-05-2021-0056,10.1108/afr-05-2021-0056,The profitability implications of sales through local food markets for beginning farmers and ranchers,2022,2022-03-23,article,22,Agricultural Finance Review,0002-1466,Emerald Publishing Limited,TRUE,FALSE,5
doi:10.1111/1467-8489.12456,W3210113799,https://doi.org/10.1111/1467-8489.12456,10.1111/1467-8489.12456,Novel methods for an interesting time: Exploring U.S. local food systems’ impacts and initiatives to respond to COVID*,2021,2021-10-01,article,20,Australian Journal of Agricultural and Resource Economics,1364-985X,Wiley,TRUE,FALSE,8
doi:10.1002/aepp.13256,W4220797295,https://doi.org/10.1002/aepp.13256,10.1002/aepp.13256,Opportunities to support beginning farmers and ranchers in the 2023 Farm Bill,2022,2022-03-29,article,18,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,7
doi:10.1016/j.rama.2024.06.004,W4401021950,https://doi.org/10.1016/j.rama.2024.06.004,10.1016/j.rama.2024.06.004,Beef Cattle Producer Perspectives on Virtual Fencing,2024,2024-07-26,article,17,Rangeland Ecology & Management,1550-7424,Elsevier BV,TRUE,FALSE,7
doi:10.1108/afr-05-2021-0070,W4200169516,https://doi.org/10.1108/afr-05-2021-0070,10.1108/afr-05-2021-0070,Unique financing strategies among beginning farmers and ranchers: differences among multigenerational and beginning operations,2021,2021-12-08,article,12,Agricultural Finance Review,0002-1466,Emerald Publishing Limited,FALSE,FALSE,5
doi:10.1016/j.rama.2024.03.004,W4394903695,https://doi.org/10.1016/j.rama.2024.03.004,10.1016/j.rama.2024.03.004,"What's in a Name? Standardizing Terminology for the Enhancement of Research, Extension, and Industry Applications of Virtual Fence Use on Grazing Livestock",2024,2024-04-17,article,11,Rangeland Ecology & Management,1550-7424,Elsevier BV,TRUE,FALSE,11
doi:10.1016/j.wre.2022.100212,W4308921092,https://doi.org/10.1016/j.wre.2022.100212,10.1016/j.wre.2022.100212,"More risk, more money: When are payments for water savings from limited irrigation profitable for farmers?",2022,2022-10-01,article,10,Water Resources and Economics,2212-4284,Elsevier BV,TRUE,FALSE,4
doi:10.13031/jash.15039,W4285193779,https://doi.org/10.13031/jash.15039,10.13031/jash.15039,Estimating the Nonfatal Injury Undercount in Agriculture from 2004 to 2019,2022,2022-01-01,article,8,Journal of Agricultural Safety and Health,1074-7583,NA,FALSE,FALSE,3
doi:10.1093/biosci/biaf026,W4410577500,https://doi.org/10.1093/biosci/biaf026,10.1093/biosci/biaf026,Transdisciplinary research priorities for a One Health approach to human–wildlife coexistence,2025,2025-05-21,article,4,BioScience,0006-3568,Oxford University Press,TRUE,FALSE,23
doi:10.3368/le.100.4.060823-0052r,W4393145512,https://doi.org/10.3368/le.100.4.060823-0052r,10.3368/le.100.4.060823-0052r,"Fat Tails, Flat Tails, and Willingness to Pay: Kriström Revisited",2024,2024-03-25,article,3,Land Economics,0023-7639,University of Wisconsin Press,FALSE,FALSE,3
doi:10.1146/annurev-resource-101623-093149,W4400748387,https://doi.org/10.1146/annurev-resource-101623-093149,10.1146/annurev-resource-101623-093149,The Nature of the Beast: Wildlife Valuation from the Iconic to the Ordinary,2024,2024-07-16,article,2,Annual Review of Resource Economics,1941-1340,Annual Reviews,TRUE,FALSE,3
doi:10.1002/aepp.13059,W3043055687,https://doi.org/10.1002/aepp.13059,10.1002/aepp.13059,Local Food Market Orientation and Labor Intensity,2020,2020-07-13,article,22,Applied Economic Perspectives and Policy,2040-5790,Wiley,FALSE,FALSE,3
doi:10.1086/728140,W4387444518,https://doi.org/10.1086/728140,10.1086/728140,International Climate Agreements under the Threat of Solar Geoengineering,2023,2023-10-09,article,9,Journal of the Association of Environmental and Resource Economists,2333-5955,University of Chicago Press,FALSE,FALSE,4
doi:10.3390/foods13193124,W4402991773,https://doi.org/10.3390/foods13193124,10.3390/foods13193124,Bilateral Trade Welfare Impacts of India’s Export Ban of Non-Basmati Rice Using the Global Partial Equilibrium Simulation Model (GSIM),2024,2024-09-30,article,6,Foods,2304-8158,Multidisciplinary Digital Publishing Institute,TRUE,FALSE,5
doi:10.1177/08912424241282425,W4403258135,https://doi.org/10.1177/08912424241282425,10.1177/08912424241282425,Building Representative State Groupings in an Input-Output Model for the Development of an Economic Impact Calculator for Nutrition Incentive Programs,2024,2024-10-09,article,1,Economic Development Quarterly,0891-2424,SAGE Publishing,TRUE,FALSE,7
doi:10.1016/j.worlddev.2025.107182,W4416538740,https://doi.org/10.1016/j.worlddev.2025.107182,10.1016/j.worlddev.2025.107182,Gendered networks and demand for an agricultural technology in India,2025,2025-10-10,article,1,World Development,0305-750X,Elsevier BV,TRUE,FALSE,4
doi:10.1007/s10584-023-03612-2,W4387253917,https://doi.org/10.1007/s10584-023-03612-2,10.1007/s10584-023-03612-2,Climate cooperation with risky solar geoengineering,2023,2023-10-01,article,6,Climatic Change,0165-0009,Springer Science+Business Media,FALSE,FALSE,3
doi:10.1017/s1742170523000145,W4366223024,https://doi.org/10.1017/s1742170523000145,10.1017/s1742170523000145,Producers marketing a novel crop: a field-level view of hemp market channels,2023,2023-01-01,article,5,Renewable Agriculture and Food Systems,1742-1705,Cambridge University Press,TRUE,FALSE,10
doi:10.1007/s10640-024-00854-1,W4393221258,https://doi.org/10.1007/s10640-024-00854-1,10.1007/s10640-024-00854-1,"Solar Geoengineering, Free-Driving and Conflict: An Experimental Investigation",2024,2024-03-27,article,4,Environmental and Resource Economics,0924-6460,Springer Science+Business Media,FALSE,FALSE,4
doi:10.1080/10871209.2024.2414880,W4403767062,https://doi.org/10.1080/10871209.2024.2414880,10.1080/10871209.2024.2414880,U.S. livestock producer interest in alternatives to compensation programs for wolf depredation,2024,2024-10-25,article,3,Human Dimensions of Wildlife,1087-1209,Taylor & Francis,FALSE,FALSE,6
doi:10.1016/j.worlddev.2025.107078,W4412025049,https://doi.org/10.1016/j.worlddev.2025.107078,10.1016/j.worlddev.2025.107078,Who is asking and how? Effects of survey mode and enumerator gender on measuring women’s life experience,2025,2025-07-04,article,1,World Development,0305-750X,Elsevier BV,TRUE,FALSE,4
doi:10.1126/science.adz3885,W4412622914,https://doi.org/10.1126/science.adz3885,10.1126/science.adz3885,Reinstate the National Climate Assessment,2025,2025-07-24,article,1,Science,0036-8075,American Association for the Advancement of Science,FALSE,FALSE,6
doi:10.1111/cobi.70326,W7161155482,https://doi.org/10.1111/cobi.70326,10.1111/cobi.70326,Psychometric framework for coexistence with large carnivores,2026,2026-05-14,article,1,Conservation Biology,0888-8892,Wiley,TRUE,FALSE,15
doi:10.3390/su13169375,W3193515861,https://doi.org/10.3390/su13169375,10.3390/su13169375,Valuing Cattle Manure as an Agricultural Resource for Efficiency and Environmental Sustainability,2021,2021-08-20,article,2,Sustainability,2071-1050,Multidisciplinary Digital Publishing Institute,TRUE,FALSE,2
doi:10.1093/qopen/qoab006,W3160910648,https://doi.org/10.1093/qopen/qoab006,10.1093/qopen/qoab006,Inequality hinders group efforts to avoid environmental disasters,2021,2021-01-01,article,3,Q Open,2633-9048,Oxford University Press,TRUE,FALSE,2
doi:10.1080/19439342.2024.2319657,W4392906477,https://doi.org/10.1080/19439342.2024.2319657,10.1080/19439342.2024.2319657,Challenges to groundnut value chain development: lessons from an (attempted) experiment in Ghana,2024,2024-03-18,article,2,Journal of Development Effectiveness,1943-9342,Taylor & Francis,TRUE,FALSE,6
doi:10.1016/j.jdeveco.2024.103414,W4405747403,https://doi.org/10.1016/j.jdeveco.2024.103414,10.1016/j.jdeveco.2024.103414,Going the distance: Hybrid vocational training for women in Nepal,2024,2024-12-25,article,1,Journal of Development Economics,0304-3878,Elsevier BV,FALSE,FALSE,5
doi:10.1002/9780470282014.ch14,W1482969843,https://doi.org/10.1002/9780470282014.ch14,10.1002/9780470282014.ch14,Intellectual Property in Agricultural Biotechnology: Strategies for Open Access,2007,2007-10-11,other,8,NA,NA,NA,FALSE,FALSE,4
doi:10.2139/ssrn.4892791,W4400683073,https://doi.org/10.2139/ssrn.4892791,10.2139/ssrn.4892791,"The Contribution of Startups, Venture Finance, and Patenting to Innovation in U.S. Agriculture",2024,2024-01-01,preprint,1,SSRN Electronic Journal,1556-5068,RELX Group (Netherlands),TRUE,FALSE,3
doi:10.22004/ag.econ.311308,W3203596447,https://doi.org/10.22004/ag.econ.311308,10.22004/ag.econ.311308,COVID-19 and Farm Workers,2021,2021-01-01,article,0,"AgEcon Search (University of Minnesota, USA)",NA,University of Minnesota Rochester,TRUE,FALSE,4
doi:10.4337/9781788114288.00018,W4210786184,https://doi.org/10.4337/9781788114288.00018,10.4337/9781788114288.00018,A small collection of pen-and-paper classroom experiments for teaching environmental economics classes,2022,2022-01-18,book-chapter,0,Edward Elgar Publishing eBooks,NA,Edward Elgar Publishing,FALSE,FALSE,1
doi:10.1002/aepp.13302,W4283262314,https://doi.org/10.1002/aepp.13302,10.1002/aepp.13302,Potential beef cattle topics in the 2023 farm bill,2022,2022-06-21,article,0,Applied Economic Perspectives and Policy,2040-5790,Wiley,FALSE,FALSE,8
doi:10.1201/9781003149774-10,W4297516866,https://doi.org/10.1201/9781003149774-10,10.1201/9781003149774-10,An Introduction to the Economics of Climate Change and Animal Health,2022,2022-09-28,book-chapter,0,NA,NA,NA,FALSE,FALSE,3
doi:10.1201/9781003574040-12,W4403308619,https://doi.org/10.1201/9781003574040-12,10.1201/9781003574040-12,Reducing Wind Erosion Damages and the Conservation Reserve Program,2024,2024-10-10,book-chapter,0,NA,NA,NA,FALSE,FALSE,3
doi:10.7717/peerj.20732,W7127181137,https://doi.org/10.7717/peerj.20732,10.7717/peerj.20732,Drivers of wolf depredation reporting and compensation use intentions by livestock producers,2026,2026-02-02,article,0,PeerJ,2167-8359,"PeerJ, Inc.",TRUE,FALSE,6
doi:10.1007/s10640-026-01072-7,W7140229287,https://doi.org/10.1007/s10640-026-01072-7,10.1007/s10640-026-01072-7,Climate Intervention and Mitigation: Strategic Responses to Technological Advances in Solar Geoengineering,2026,2026-03-24,article,0,Environmental and Resource Economics,0924-6460,Springer Science+Business Media,TRUE,FALSE,3
doi:10.1002/ajae.70083,W7164191810,https://doi.org/10.1002/ajae.70083,10.1002/ajae.70083,The role of venture‐financed startups in innovation for US agriculture,2026,2026-06-10,article,0,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,3
doi:10.22004/ag.econ.404698,W7168092414,https://doi.org/10.22004/ag.econ.404698,10.22004/ag.econ.404698,Profitability of Threshold-Based Flex Crop Strategies for Dryland Wheat Rotations,2026,2026-07-12,other,0,"AgEcon Search (University of Minnesota, USA)",NA,University of Minnesota Rochester,TRUE,FALSE,3
doi:10.1016/j.gfs.2025.100840,W4408565318,https://doi.org/10.1016/j.gfs.2025.100840,10.1016/j.gfs.2025.100840,Context is key to understand and improve livestock production systems,2025,2025-03-18,article,27,Global Food Security,2211-9124,Elsevier BV,TRUE,FALSE,20
doi:10.1002/jeq2.20599,W4400869718,https://doi.org/10.1002/jeq2.20599,10.1002/jeq2.20599,The LTAR Grazing Land Common Experiment at the Central Plains Experimental Range: Collaborative adaptive rangeland management,2024,2024-07-22,article,11,Journal of Environmental Quality,0047-2425,Wiley,TRUE,FALSE,10
doi:10.1016/j.jdeveco.2020.102620,W2779231959,https://doi.org/10.1016/j.jdeveco.2020.102620,10.1016/j.jdeveco.2020.102620,"Information, technology, and market rewards: Incentivizing aflatoxin control in Ghana",2021,2021-02-01,article,39,Journal of Development Economics,0304-3878,Elsevier BV,TRUE,FALSE,5
doi:10.1016/j.rala.2021.02.004,W3143326807,https://doi.org/10.1016/j.rala.2021.02.004,10.1016/j.rala.2021.02.004,Adaptive grazing management in semiarid rangelands: An outcome-driven focus,2021,2021-04-01,article,30,Rangelands,0190-0528,Elsevier BV,TRUE,FALSE,8
doi:10.1016/j.rala.2021.02.002,W3148129500,https://doi.org/10.1016/j.rala.2021.02.002,10.1016/j.rala.2021.02.002,Social learning lessons from Collaborative Adaptive Rangeland Management,2021,2021-04-02,article,28,Rangelands,0190-0528,Elsevier BV,TRUE,FALSE,9
doi:10.1111/ajae.12124,W3048471999,https://doi.org/10.1111/ajae.12124,10.1111/ajae.12124,Can Experiential Games and Improved Risk Coverage Raise Demand for Index Insurance? Evidence from Kenya,2020,2020-08-12,article,24,American Journal of Agricultural Economics,0002-9092,Wiley,FALSE,FALSE,7
doi:10.1016/j.smallrumres.2021.106611,W4205369369,https://doi.org/10.1016/j.smallrumres.2021.106611,10.1016/j.smallrumres.2021.106611,Effects of feed efficiency and diet on performance and carcass characteristics in growing wether lambs,2022,2022-01-04,article,20,Small Ruminant Research,0921-4488,Elsevier BV,TRUE,FALSE,7
doi:10.1016/j.jebo.2022.07.027,W4291734210,https://doi.org/10.1016/j.jebo.2022.07.027,10.1016/j.jebo.2022.07.027,Demand for Weather Index Insurance among Smallholder Farmers under Prospect Theory,2022,2022-08-13,article,17,Journal of Economic Behavior & Organization,0167-2681,Elsevier BV,FALSE,FALSE,4
doi:10.1086/720303,W4225547470,https://doi.org/10.1086/720303,10.1086/720303,Ecosystem Services and Land Rental Markets: Producer Costs of Bat Population Crashes,2022,2022-04-08,article,14,Journal of the Association of Environmental and Resource Economists,2333-5955,University of Chicago Press,FALSE,FALSE,2
doi:10.1093/tas/txae035,W4392736989,https://doi.org/10.1093/tas/txae035,10.1093/tas/txae035,"Preslaughter factors affecting mobility, blood parameters, bruising, and muscle pH of finished beef cattle in the United States",2024,2024-01-01,article,12,Translational Animal Science,2573-2102,Oxford University Press,TRUE,FALSE,6
doi:10.1016/j.rama.2024.04.011,W4399202799,https://doi.org/10.1016/j.rama.2024.04.011,10.1016/j.rama.2024.04.011,Does Drought Intensify the Effects of Black-Tailed Prairie Dogs on Livestock Production and Net Revenue in Semiarid Rangelands?,2024,2024-05-31,article,5,Rangeland Ecology & Management,1550-7424,Elsevier BV,FALSE,FALSE,4
doi:10.1016/j.rala.2022.04.002,W4281652952,https://doi.org/10.1016/j.rala.2022.04.002,10.1016/j.rala.2022.04.002,Stocking rate and marketing dates for yearling steers grazing rangelands: Can producers do things differently to increase economic net benefits?,2022,2022-06-03,article,11,Rangelands,0190-0528,Elsevier BV,TRUE,FALSE,9
doi:10.1016/j.jenvman.2022.116420,W4315631941,https://doi.org/10.1016/j.jenvman.2022.116420,10.1016/j.jenvman.2022.116420,"Financial barriers and opportunities for conservation adoption on U.S. rangelands: A region-wide, ranch-level economic assessment of NRCS-sponsored Greater Sage-grouse habitat conservation programs",2023,2023-01-11,article,11,Journal of Environmental Management,0301-4797,Elsevier BV,FALSE,FALSE,5
doi:10.1016/j.rala.2022.05.003,W4298120606,https://doi.org/10.1016/j.rala.2022.05.003,10.1016/j.rala.2022.05.003,Balancing ecosystem service outcomes at the ranch-scale in shortgrass steppe: The role of grazing management,2022,2022-09-30,article,10,Rangelands,0190-0528,Elsevier BV,TRUE,FALSE,8
doi:10.1016/j.rama.2022.09.003,W4307954858,https://doi.org/10.1016/j.rama.2022.09.003,10.1016/j.rama.2022.09.003,Evaluating Prairie Dog–Cattle Competition from the Perspective of a Ranching Enterprise in the Western Great Plains: Economic Analysis of Potential Effects on Long-Term Profitability,2022,2022-10-30,article,10,Rangeland Ecology & Management,1550-7424,Elsevier BV,FALSE,FALSE,6
doi:10.3390/agriculture13040831,W4362614797,https://doi.org/10.3390/agriculture13040831,10.3390/agriculture13040831,Developing a Crop Water Production Function for Alfalfa under Deficit Irrigation: A Case Study in Eastern Colorado,2023,2023-04-04,article,8,Agriculture,2077-0472,Multidisciplinary Digital Publishing Institute,TRUE,FALSE,5
doi:10.3390/su14052859,W4214897389,https://doi.org/10.3390/su14052859,10.3390/su14052859,Returns to Disease Resistance Research When Pest Management Is an Option,2022,2022-03-01,article,7,Sustainability,2071-1050,Multidisciplinary Digital Publishing Institute,TRUE,FALSE,4
doi:10.1093/tas/txad150,W4390544728,https://doi.org/10.1093/tas/txad150,10.1093/tas/txad150,"Benchmarking current preslaughter management factors, welfare indicators, and meat quality outcomes at commercial fed cattle processing facilities in the United States",2024,2024-01-01,article,6,Translational Animal Science,2573-2102,Oxford University Press,TRUE,FALSE,6
doi:10.1088/2515-7620/ad82b5,W4403054836,https://doi.org/10.1088/2515-7620/ad82b5,10.1088/2515-7620/ad82b5,Net zero initiative in U.S. beef and dairy systems: integrative on-farm recommendations for greenhouse gas reduction,2024,2024-10-01,article,4,Environmental Research Communications,2515-7620,IOP Publishing,TRUE,FALSE,13
doi:10.1016/j.rama.2025.01.007,W4408251596,https://doi.org/10.1016/j.rama.2025.01.007,10.1016/j.rama.2025.01.007,US Beef Cattle Inventory Trends With Implications for Land Use and Rangelands,2025,2025-03-08,article,4,Rangeland Ecology & Management,1550-7424,Elsevier BV,TRUE,FALSE,4
doi:10.1002/jeq2.70051,W4411467092,https://doi.org/10.1002/jeq2.70051,10.1002/jeq2.70051,Selecting performance indicators for farms and ranches engaged in collaborative agroecosystem research,2025,2025-06-20,article,3,Journal of Environmental Quality,0047-2425,Wiley,TRUE,FALSE,20
doi:10.2989/10220119.2025.2585814,W7134037685,https://doi.org/10.2989/10220119.2025.2585814,10.2989/10220119.2025.2585814,From data to decisions: the potential of real-time precision technologies to enhance adaptive grazing management for livestock ranchers,2026,2026-01-02,article,1,African Journal of Range and Forage Science,1022-0119,Taylor & Francis,FALSE,FALSE,11
doi:10.1093/jas/skaa405,W3116943314,https://doi.org/10.1093/jas/skaa405,10.1093/jas/skaa405,"Evaluation of biological and economic efficiency of the All Heifer, No Cow beef production system using a system dynamics model based on 6 yr of demonstration herd data",2020,2020-12-22,article,6,Journal of Animal Science,0021-8812,Oxford University Press,TRUE,FALSE,6
doi:10.1093/qopen/qoad027,W4387648594,https://doi.org/10.1093/qopen/qoad027,10.1093/qopen/qoad027,Type and frequency of wild pig-domestic livestock contacts and operator concern for disease spread,2023,2023-01-01,article,5,Q Open,2633-9048,Oxford University Press,TRUE,FALSE,3
doi:10.1093/tas/txae108,W4401040928,https://doi.org/10.1093/tas/txae108,10.1093/tas/txae108,An analysis of the influence of preslaughter management factors on welfare and meat quality outcomes in fed beef cattle in the United States,2024,2024-01-01,article,5,Translational Animal Science,2573-2102,Oxford University Press,TRUE,FALSE,6
doi:10.1017/inp.2023.8,W4322500407,https://doi.org/10.1017/inp.2023.8,10.1017/inp.2023.8,A ranching economic analysis of ventenata (<i>Ventenata dubia</i>) control in northeast Wyoming,2023,2023-02-27,article,4,Invasive Plant Science and Management,1939-7291,Cambridge University Press,TRUE,FALSE,3
