key_id,year,funded,amount,project_title,investigator_name,investigator_role,investigator_unit_code,investigator_unit_name
K000152425,2022,FALSE,3499990.16,Establishing Technical Assistance and Outreach Networks in Colorado to Support Underserved Farmers and Ranchers,"Kelly,Eugene F",Co-PI,3001,NA
K000152425,2022,FALSE,3499990.16,Establishing Technical Assistance and Outreach Networks in Colorado to Support Underserved Farmers and Ranchers,"Sullins,Martha J",Co-PI,4010,NA
K000151431,2022,TRUE,733863.85,Colorado AgrAbility Project,"Fetsch,Robert J",Co-PI,1570,NA
K000151123,2021,TRUE,49993.47,Rancher Risk Management of Reintroduced Wolves in Colorado,"Young,Robin Elizabeth",Key Person,4030,NA
K000151123,2021,TRUE,49993.47,Rancher Risk Management of Reintroduced Wolves in Colorado,"Crooks,Kevin",Key Person,1474,NA
K000151043,2021,FALSE,500000.83,Accelerating Colorado's Regional Food and Agricultural Innovation Cluster,"Carolan,Michael S",Primary PI,1784,NA
K000151043,2021,FALSE,500000.83,Accelerating Colorado's Regional Food and Agricultural Innovation Cluster,"Christensen,Elizabeth O'Sullivan",Key Person,4030,NA
K000151043,2021,FALSE,500000.83,Accelerating Colorado's Regional Food and Agricultural Innovation Cluster,"Mills,Paula Frances",Key Person,1101,Dean of Agricultural Sciences
K000151043,2021,FALSE,500000.83,Accelerating Colorado's Regional Food and Agricultural Innovation Cluster,"Hittle,Jocelyn",Key Person,0001,NA
K000150422,2021,FALSE,183840.23,Colorado AgrAbility Project - FY22,"Fetsch,Robert J",Co-PI,1570,NA
K000150037,2021,FALSE,749979.56,Expanding a Successful Extension Internship Program to Support Workforce Development among Underrepresented and Economically Disadvantaged Students,"Ishiwata,Eric",Co-PI,1790,NA
K000149440,2021,TRUE,25649.39,Profitability Assessment of Grazing Management Practices to Achieve Resilient Working Landscapes and Enhanced Bird Habitat in Eastern Colorado,"Rhoades,Ryan Douglas",Co-PI,1171,Animal Sciences
K000149440,2021,TRUE,25649.39,Profitability Assessment of Grazing Management Practices to Achieve Resilient Working Landscapes and Enhanced Bird Habitat in Eastern Colorado,"Jablonski,Kevin E",Co-PI,1472,NA
K000149440,2021,TRUE,25649.39,Profitability Assessment of Grazing Management Practices to Achieve Resilient Working Landscapes and Enhanced Bird Habitat in Eastern Colorado,"Garry,Franklyn B",Key Person,1678,NA
K000148957,2021,FALSE,1936726.38,Improving US Beef Industry Resilience through True Cost Accounting,"Bruegger,Retta A",Co-PI,4030,NA
K000148957,2021,FALSE,1936726.38,Improving US Beef Industry Resilience through True Cost Accounting,"Rhoades,Ryan Douglas",Key Person,1171,Animal Sciences
K000148957,2021,FALSE,1936726.38,Improving US Beef Industry Resilience through True Cost Accounting,"Dillon,Jasmine Ashley",Key Person,1171,Animal Sciences
K000148957,2021,FALSE,1936726.38,Improving US Beef Industry Resilience through True Cost Accounting,"Stackhouse-Lawson,Kim Rose",Key Person,1171,Animal Sciences
K000148957,2021,FALSE,1936726.38,Improving US Beef Industry Resilience through True Cost Accounting,"Jablonski,Kevin E",Key Person,147,NA
K000149067,2021,FALSE,1703474.29,Systems Change to Achieve Resiliency: A Farm to Fork Approach,"Boone,Randall B",Co-PI,1476,NA
K000149067,2021,FALSE,1703474.29,Systems Change to Achieve Resiliency: A Farm to Fork Approach,"Quinn,Jason Charles",Co-PI,1374,NA
K000149067,2021,FALSE,1703474.29,Systems Change to Achieve Resiliency: A Farm to Fork Approach,"David,Olaf",Key Person,1372,NA
K000149027,2021,TRUE,457037.14,Smart Foodscapes to Enhance the Sustainability of Western Beef Production,"Dillon,Jasmine Ashley",Co-PI,1171,Animal Sciences
