last,first,area,year,type,student_coauthor,dare_coauthors_names,dare_coauthors,title_short,venue,doi,doi_clean,journal_norm,impact_factor,if_year_used,if_match_rule,oa_id,doi_raw,oa_title,oa_year,oa_date,oa_type,cited_by_count,oa_venue,oa_issn_l,oa_publisher,is_oa,is_retracted,n_authors,n_grad_coauthors,grad_coauthors,any_student_at_pub,student_flag_disagrees,year_disagrees,faculty_type,faculty_rank,is_tt,pct_research,departed_flag,research_fte
Bayham,Jude,ENRE,2021,JA,N,NA,0,Maximizing the Efficiency of Active Case Finding for SARS-CoV-2 Using Bandit Algorithms,Medical Decision Making,10.1177/0272989x211021603,10.1177/0272989x211021603,medical decision making,2.749,2021,Exact journal-year,https://openalex.org/W3168577360,https://doi.org/10.1177/0272989x211021603,Maximizing the Efficiency of Active Case Finding for SARS-CoV-2 Using Bandit Algorithms,2021,2021-06-14,article,9,Medical Decision Making,0272-989X,SAGE Publishing,TRUE,FALSE,16,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2021,JA,Y,NA,0,COVID-19 and the renewed migration to the rural west,Western Economics Forum,10.22004/ag.econ.311309,10.22004/ag.econ.311309,western economics forum,NA,NA,No IF match,https://openalex.org/W3185528076,https://doi.org/10.22004/ag.econ.311309,COVID-19 and the Renewed Migration to the Rural West,2021,2021-01-01,article,10,"AgEcon Search (University of Minnesota, USA)",NA,University of Minnesota Rochester,TRUE,FALSE,6,NA,NA,NA,TRUE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2023,JA,N,Suter,1,Reductions in National Forest Campground Reservation Demand from Wildfire,Journal of Agricultural and Resource Economics,10.22004/ag.econ.322851,10.22004/ag.econ.322851,journal agricultural resource economics,1.4,2024,Nearest year (2024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2023,JA,Y,NA,0,The Economics of Wildland Firefighting Aviation Procurement and Effectiveness,Western Economics Forum,10.22004/ag.econ.339590,10.22004/ag.econ.339590,western economics forum,NA,NA,No IF match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2021,JA,N,NA,0,Estimating the Impact of Statewide Policies to Reduce Spread of SARS-CoV-2,Emerging Infectious Diseases,10.3201/eid2709.204167,10.3201/eid2709.204167,emerging infectious diseases,16.126,2021,Exact journal-year,https://openalex.org/W3174989026,https://doi.org/10.3201/eid2709.204167,"Estimating the Impact of Statewide Policies to Reduce Spread of Severe Acute Respiratory Syndrome Coronavirus 2 in Real Time, Colorado, USA",2021,2021-07-01,article,17,Emerging infectious diseases,1080-6040,Centers for Disease Control and Prevention,TRUE,FALSE,11,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2026,JA,N,NA,0,Are mobility data a substitute for travel cost surveys,Land Economics,10.3368/le.102.3.012626-0015,10.3368/le.102.3.012626-0015,land economics,1.9,2025,Nearest year (2025),https://openalex.org/W7135135882,https://doi.org/10.3368/le.102.3.012626-0015,Are Mobile Device Location Data a Substitute for Travel Cost Surveys?,2026,2026-03-11,article,1,Land Economics,0023-7639,University of Wisconsin Press,TRUE,FALSE,3,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2021,JA,N,NA,0,Time Reallocation and the Cost and Benefit of School Closures During an Epidemic,Frontiers of Economics in China,10.54605/fec20210204,10.54605/fec20210204,frontiers economics in china,NA,NA,No IF match,https://openalex.org/W4200109688,https://doi.org/10.54605/fec20210204,Time Reallocation and the Cost and Benefit of School Closures during an Epidemic,2021,2021-12-15,article,1,Frontiers of Economics in China,1673-3444,Brill,FALSE,FALSE,4,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bayham,Jude,ENRE,2021,JA,N,NA,0,Impacts of the COVID-19 pandemic on agriculture and natural resources in the western US,Western Economics Forum,nodoi,NA,western economics forum,NA,NA,No IF match,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Associate Professor,TRUE,50,FALSE,0.5
Bennett,Jenny,Ag Ed,2025,JA,N,NA,0,Understanding Barriers to SAE Implementation and Professional Development Needs,Journal of Agricultural Education,10.5032/jae.v66i4.3220,10.5032/jae.v66i4.3220,journal agricultural education,NA,NA,No IF match,https://openalex.org/W4417097694,https://doi.org/10.5032/jae.v66i4.3220,Understanding Barriers to SAE Implementation and Professional Development Needs of Middle School SBAE Teachers,2025,2025-12-07,article,0,Journal of Agricultural Education,1042-0541,American Association for Agricultural Education,TRUE,FALSE,2,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Assistant Professor,TRUE,25,FALSE,0.25
Bennett,Jenny,Ag Ed,2026,JA,U,Clark;Enns,1,Investigating the Sources and Influences Shaping Pedagogical Content Knowledge,Journal of Agricultural Education,10.5032/jae.v67i1.3218,10.5032/jae.v67i1.3218,journal agricultural education,NA,NA,No IF match,https://openalex.org/W7118128088,https://doi.org/10.5032/jae.v67i1.3218,Investigating the Sources and Influences Shaping Pedagogical Content Knowledge among Colorado Agricultural Educators,2026,2026-01-04,article,0,Journal of Agricultural Education,1042-0541,American Association for Agricultural Education,TRUE,FALSE,4,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Assistant Professor,TRUE,25,FALSE,0.25
Bennett,Jenny,Ag Ed,2025,JA,N,Clark;Enns,1,An examination of the effectiveness of an institutional intervention to improve retention,NACTA Journal,10.56103/nactaj.v69i1.210,10.56103/nactaj.v69i1.210,nacta journal,NA,NA,No IF match,https://openalex.org/W4410430809,https://doi.org/10.56103/nactaj.v69i1.210,Examination of the Effectiveness of an Institutional Intervention to Improve Retention at an Agricultural College,2025,2025-05-16,article,0,NACTA Journal,0149-4910,NA,TRUE,FALSE,6,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Assistant Professor,TRUE,25,FALSE,0.25
Berning,Joshua,Ag and Food,2023,JA,U,Bonanno;Cleary,1,Food Insecurity and Time Use in Elderly vs Non-Elderly,Applied Economic Perspectives and Policy,10.1002/aepp.13275,10.1002/aepp.13275,applied economic perspectives policy,3.4,2024,Nearest year (2024),https://openalex.org/W4225008403,https://doi.org/10.1002/aepp.13275,Food insecurity and time use in elderly vs. non‐elderly: An exploratory analysis,2022,2022-04-27,article,8,Applied Economic Perspectives and Policy,2040-5790,Wiley,FALSE,FALSE,3,NA,NA,NA,FALSE,TRUE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Berning,Joshua,Ag and Food,2024,JA,U,Bonanno;Cleary,1,Disparities in Food Insecurity among Black and White Households,Applied Economic Perspectives and Policy,10.1002/aepp.13332,10.1002/aepp.13332,applied economic perspectives policy,3.4,2024,Exact journal-year,https://openalex.org/W4307650297,https://doi.org/10.1002/aepp.13332,"Disparities in food insecurity among Black and White households: An analysis by age cohort, poverty, education, and home ownership",2022,2022-10-27,article,12,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,3,NA,NA,NA,FALSE,TRUE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Berning,Joshua,Ag and Food,2025,JA,Y,Bayham;Costanigro,1,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,Applied Economic Perspectives and Policy,10.1002/aepp.70037,10.1002/aepp.70037,applied economic perspectives policy,3.6,2025,Exact journal-year,https://openalex.org/W4416337945,https://doi.org/10.1002/aepp.70037,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,2025,2025-11-18,article,1,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,4,1,Nathan Palardy,FALSE,FALSE,FALSE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Berning,Joshua,Ag and Food,2026,JA,N,Bayham;Bonanno,1,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,10.1002/ajae.70071,american journal agricultural economics,4.9,2025,Nearest year (2025),https://openalex.org/W7152708484,https://doi.org/10.1002/ajae.70071,Food insecurity and unemployment among immigrants in the United States,2026,2026-04-09,article,0,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,4,1,Siwen Zhou,FALSE,TRUE,FALSE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Berning,Joshua,Ag and Food,2023,JA,N,Cleary,1,Food Insecurity Among Immigrant Populations in the United States,Food Security,10.1007/s12571-022-01322-8,10.1007/s12571-022-01322-8,food security,6.2,2024,Nearest year (2024),https://openalex.org/W3084019073,https://doi.org/10.1007/s12571-022-01322-8,Food insecurity among immigrant populations in the United States,2022,2022-10-08,article,11,Food Security,1876-4517,Springer Science+Business Media,TRUE,FALSE,3,1,Caroline Norris,FALSE,TRUE,TRUE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Berning,Joshua,Ag and Food,2023,JA,Y,Bayham;Costanigro;Thilmany,1,Beer sales in grocery and convenience stores: a glass half-full for craft brewers,Regional Studies,10.1080/00343404.2023.2166914,10.1080/00343404.2023.2166914,regional studies,4.2,2024,Nearest year (2024),https://openalex.org/W4319067211,https://doi.org/10.1080/00343404.2023.2166914,Beer sales in grocery and convenience stores: a glass half-full for craft brewers?,2023,2023-02-03,article,14,Regional Studies,0034-3404,Routledge,TRUE,FALSE,7,1,Nathan Palardy,FALSE,FALSE,FALSE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Berning,Joshua,Ag and Food,2021,JA,N,NA,0,GMO Turfgrass Introduction to the Market,HortScience,10.21273/hortsci15871-21,10.21273/hortsci15871-21,hortscience,1.874,2021,Exact journal-year,https://openalex.org/W3171907984,https://doi.org/10.21273/hortsci15871-21,GMO Turfgrass Introduction to the Market: Acceptance and Market Simulations for Connecticut Consumers,2021,2021-06-02,article,3,HortScience,0018-5345,American Society for Horticultural Science,TRUE,FALSE,3,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Bonanno,Alessandro,Ag and Food,2021,JA,N,Chenarides,1,If You Build It Will it Matter? Food Stores Presence and Perceived Barriers,Applied Economic Perspectives and Policy,10.1002/aepp.13098,10.1002/aepp.13098,applied economic perspectives policy,4.89,2021,Exact journal-year,https://openalex.org/W3093424154,https://doi.org/10.1002/aepp.13098,If You Build Them… Will it Matter? Food Stores' Presence and Perceived Barriers to Purchasing Healthy Foods in the Northeastern U.S.,2020,2020-10-12,article,6,Applied Economic Perspectives and Policy,2040-5790,Wiley,FALSE,FALSE,3,NA,NA,NA,FALSE,TRUE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Bonanno,Alessandro,Ag and Food,2021,JA,Y,Cleary,1,School Meals and Quality of Household Food Acquisitions,Applied Economic Perspectives and Policy,10.1002/aepp.13130,10.1002/aepp.13130,applied economic perspectives policy,4.89,2021,Exact journal-year,https://openalex.org/W3120068039,https://doi.org/10.1002/aepp.13130,School meals and quality of household food acquisitions,2021,2021-01-07,article,1,Applied Economic Perspectives and Policy,2040-5790,Wiley,FALSE,FALSE,5,1,Armen Ghazaryan,FALSE,FALSE,FALSE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Bonanno,Alessandro,Ag and Food,2023,JA,N,Berning;Cleary,1,Food Insecurity and Time Use in Elderly vs Non-Elderly,Applied Economic Perspectives and Policy,10.1002/aepp.13275,10.1002/aepp.13275,applied economic perspectives policy,3.4,2024,Nearest year (2024),https://openalex.org/W4225008403,https://doi.org/10.1002/aepp.13275,Food insecurity and time use in elderly vs. non‐elderly: An exploratory analysis,2022,2022-04-27,article,8,Applied Economic Perspectives and Policy,2040-5790,Wiley,FALSE,FALSE,3,NA,NA,NA,FALSE,TRUE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Bonanno,Alessandro,Ag and Food,2024,JA,N,Berning;Cleary,1,Disparities in Food Insecurity among Black and White Households,Applied Economic Perspectives and Policy,10.1002/aepp.13332,10.1002/aepp.13332,applied economic perspectives policy,3.4,2024,Exact journal-year,https://openalex.org/W4307650297,https://doi.org/10.1002/aepp.13332,"Disparities in food insecurity among Black and White households: An analysis by age cohort, poverty, education, and home ownership",2022,2022-10-27,article,12,Applied Economic Perspectives and Policy,2040-5790,Wiley,TRUE,FALSE,3,NA,NA,NA,FALSE,TRUE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Bonanno,Alessandro,Ag and Food,2026,JA,N,Bayham;Berning,1,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,10.1002/ajae.70071,american journal agricultural economics,4.9,2025,Nearest year (2025),https://openalex.org/W7152708484,https://doi.org/10.1002/ajae.70071,Food insecurity and unemployment among immigrants in the United States,2026,2026-04-09,article,0,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,4,1,Siwen Zhou,FALSE,TRUE,FALSE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Bonanno,Alessandro,Ag and Food,2024,JA,N,NA,0,Farm to School Programming Spillovers and Households Fruits and Vegetables Purchases,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.95,10.1002/jaa2.95,journal agricultural applied economics association,1.8,2025,Nearest year (2025),https://openalex.org/W4391281161,https://doi.org/10.1002/jaa2.95,Farm to school programming spillovers and households' fruits and vegetables purchases,2024,2024-01-26,article,1,Journal of the Agricultural and Applied Economics Association,2769-2485,Wiley,TRUE,FALSE,3,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Bonanno,Alessandro,Ag and Food,2023,JA,U,Cleary;Jablonski,1,The Influence of Food Assistance Program Participation on Home Food Environment,Current Developments in Nutrition,10.1016/j.cdnut.2023.100292,10.1016/j.cdnut.2023.100292,current developments in nutrition,3.2,2024,Nearest year (2024),https://openalex.org/W4385306485,https://doi.org/10.1016/j.cdnut.2023.100292,OR23-07-23 The Influence of Food Assistance Program Participation on the Quality of the Home Food Environment Is Modified by Household Food Security Levels,2023,2023-07-01,article,0,Current Developments in Nutrition,2475-2991,Elsevier BV,TRUE,FALSE,6,1,Erin Love,FALSE,FALSE,FALSE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Bonanno,Alessandro,Ag and Food,2021,JA,N,NA,0,Too Cool for Farm to School? Determinants of Farm to School Programming Continuation,Food Policy,10.1016/j.foodpol.2021.102045,10.1016/j.foodpol.2021.102045,food policy,6.08,2021,Exact journal-year,https://openalex.org/W3137539494,https://doi.org/10.1016/j.foodpol.2021.102045,Too cool for farm to school? Analyzing the determinants of farm to school programming continuation,2021,2021-03-18,article,15,Food Policy,0306-9192,Elsevier BV,FALSE,FALSE,2,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Bonanno,Alessandro,Ag and Food,2021,JA,N,Jablonski,1,Measuring stocks of community wealth and its association with food systems efforts,Food Policy,10.1016/j.foodpol.2021.102119,10.1016/j.foodpol.2021.102119,food policy,6.08,2021,Exact journal-year,https://openalex.org/W3175602227,https://doi.org/10.1016/j.foodpol.2021.102119,Measuring stocks of community wealth and their association with food systems efforts in rural and urban places,2021,2021-07-01,article,13,Food Policy,0306-9192,Elsevier BV,TRUE,FALSE,4,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Bonanno,Alessandro,Ag and Food,2021,JA,U,Cleary,1,Enhancing Understanding of Food Purchasing Patterns in the Northeast,Renewable Agriculture and Food Systems,10.1017/s1742170519000371,10.1017/s1742170519000371,renewable agriculture food systems,2.915,2021,Exact journal-year,https://openalex.org/W2981340085,https://doi.org/10.1017/s1742170519000371,Enhancing understanding of food purchasing patterns in the Northeast US using multiple datasets,2019,2019-10-25,article,3,Renewable Agriculture and Food Systems,1742-1705,Cambridge University Press,TRUE,FALSE,6,NA,NA,NA,FALSE,TRUE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Bonanno,Alessandro,Ag and Food,2021,JA,N,NA,0,Competitive and Welfare Effects of Private Label Presence in Differentiated Food Markets,Applied Economics,10.1080/00036846.2020.1866160,10.1080/00036846.2020.1866160,applied economics,1.916,2021,Exact journal-year,https://openalex.org/W3132144767,https://doi.org/10.1080/00036846.2020.1866160,Competitive and welfare effects of private label presence in differentiated food markets,2021,2021-02-16,article,11,Applied Economics,0003-6846,Taylor & Francis,FALSE,FALSE,4,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Bonanno,Alessandro,Ag and Food,2023,JA,N,Jablonski,1,Beginning farmer status and financial performance differentials,Agricultural Finance Review,10.1108/AFR-05-2023-0054,10.1108/afr-05-2023-0054,agricultural finance review,1.9,2024,Nearest year (2024),https://openalex.org/W4386804267,https://doi.org/10.1108/afr-05-2023-0054,Beginning farmer status and financial performance differentials,2023,2023-09-16,article,1,Agricultural Finance Review,0002-1466,Emerald Publishing Limited,FALSE,FALSE,4,NA,NA,NA,FALSE,FALSE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
Bonanno,Alessandro,Ag and Food,2023,JA,N,NA,0,Geographical Indications Prices and Marketing Margins,British Food Journal,10.1108/bfj-09-2021-1000,10.1108/bfj-09-2021-1000,british food journal,4.2,2024,Nearest year (2024),https://openalex.org/W4220717619,https://doi.org/10.1108/bfj-09-2021-1000,"Geographical indications' prices and marketing margins: the role of group size, longevity and production decisions",2022,2022-03-23,article,5,British Food Journal,0007-070X,Emerald Publishing Limited,FALSE,FALSE,3,NA,NA,NA,FALSE,TRUE,Tenured/Tenure Track,Professor,TRUE,50,FALSE,0.5
