publication_key,oa_id,doi_clean,au_key,au_id,au_display_name,au_name_norm,au_orcid,author_position,is_corresponding,institution,ror,country_code,institution_type,raw_affiliation
doi:10.1073/pnas.2008814118,W3141737218,10.1073/pnas.2008814118,A5040800904,A5040800904,Saad B. Omer,saad b omer,0000-0002-5383-3474,last,FALSE,Yale University,https://ror.org/03v76x132,US,education,"Department of Epidemiology of Microbial Diseases, Yale School of Public Health, New Haven, CT 06510;; Department of Internal Medicine, Yale School of Medicine, New Haven, CT 06510;; Yale Institute for Global Health, New Haven, CT 06510;; Yale School of Nursing, Orange, CT 06477"
doi:10.1038/s41598-021-82574-w,W3127456818,10.1038/s41598-021-82574-w,A5002361304,A5002361304,Youpei Yan,youpei yan,0000-0002-1892-4936,first,FALSE,Yale University,https://ror.org/03v76x132,US,education,"Yale University, 195 Prospect St., New Haven, CT, 06511, USA"
doi:10.1038/s41598-021-82574-w,W3127456818,10.1038/s41598-021-82574-w,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Colorado State University, B303 Clark Bldg, Fort Collins, CO, USA"
doi:10.1038/s41598-021-82574-w,W3127456818,10.1038/s41598-021-82574-w,A5001442705,A5001442705,Aaron Richter,aaron richter,NA,middle,FALSE,Yale University,https://ror.org/03v76x132,US,education,"Yale University, 195 Prospect St., New Haven, CT, 06511, USA"
doi:10.1038/s41598-021-82574-w,W3127456818,10.1038/s41598-021-82574-w,A5052038898,A5052038898,Eli P. Fenichel,eli p fenichel,0000-0002-7649-8250,last,TRUE,Yale University,https://ror.org/03v76x132,US,education,"Yale University, 195 Prospect St., New Haven, CT, 06511, USA. eli.fenichel@yale.edu; Yale University, 195 Prospect St., New Haven, CT, 06511, USA"
doi:10.1146/annurev-resource-111920-014804,W4281886895,10.1146/annurev-resource-111920-014804,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,first,FALSE,Resource (United States),https://ror.org/002sg8b56,US,company,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado, USA;"
doi:10.1146/annurev-resource-111920-014804,W4281886895,10.1146/annurev-resource-111920-014804,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,first,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado, USA;"
doi:10.1146/annurev-resource-111920-014804,W4281886895,10.1146/annurev-resource-111920-014804,A5067927092,A5067927092,Jonathan Yoder,jonathan yoder,0000-0002-9049-9591,middle,FALSE,Washington State University,https://ror.org/05dk0ce17,US,education,"School of Economic Sciences, Washington State University, Pullman, Washington, USA;"
doi:10.1146/annurev-resource-111920-014804,W4281886895,10.1146/annurev-resource-111920-014804,A5062269496,A5062269496,Patricia A. Champ,patricia a champ,0000-0003-1917-883X,middle,FALSE,Rocky Mountain Research Station,https://ror.org/04347cr60,US,government,"USDA Forest Service, Rocky Mountain Research Station, Fort Collins, Colorado, USA;"
doi:10.1146/annurev-resource-111920-014804,W4281886895,10.1146/annurev-resource-111920-014804,A5090515291,A5090515291,David E. Calkin,david e calkin,0000-0001-7281-4570,last,FALSE,Rocky Mountain Research Station,https://ror.org/04347cr60,US,government,"USDA Forest Service, Rocky Mountain Research Station, Missoula, Montana, USA;"
doi:10.1146/annurev-resource-111920-014804,W4281886895,10.1146/annurev-resource-111920-014804,A5090515291,A5090515291,David E. Calkin,david e calkin,0000-0001-7281-4570,last,FALSE,Rocky Mountain Research (United States),https://ror.org/05f1fs902,US,company,"USDA Forest Service, Rocky Mountain Research Station, Missoula, Montana, USA;"
doi:10.1088/2752-5309/ac7d69,W4283765007,10.1088/2752-5309/ac7d69,A5082430066,A5082430066,Katelyn O’Dell,katelyn o dell,0000-0002-0198-6153,first,TRUE,Milken Institute,https://ror.org/03f5t6469,US,nonprofit,"Department of Atmospheric Science, Colorado State University, Fort Collins, CO, United States of America; Milken Institute School of Public Health, George Washington University, Washington, DC, United States of America"
doi:10.1088/2752-5309/ac7d69,W4283765007,10.1088/2752-5309/ac7d69,A5082430066,A5082430066,Katelyn O’Dell,katelyn o dell,0000-0002-0198-6153,first,TRUE,George Washington University,https://ror.org/00y4zzh67,US,education,"Department of Atmospheric Science, Colorado State University, Fort Collins, CO, United States of America; Milken Institute School of Public Health, George Washington University, Washington, DC, United States of America"
doi:10.1088/2752-5309/ac7d69,W4283765007,10.1088/2752-5309/ac7d69,A5082430066,A5082430066,Katelyn O’Dell,katelyn o dell,0000-0002-0198-6153,first,TRUE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Atmospheric Science, Colorado State University, Fort Collins, CO, United States of America; Milken Institute School of Public Health, George Washington University, Washington, DC, United States of America"
doi:10.1088/2752-5309/ac7d69,W4283765007,10.1088/2752-5309/ac7d69,A5035881670,A5035881670,Bonne Ford,bonne ford,0000-0002-7045-8346,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Atmospheric Science, Colorado State University, Fort Collins, CO, United States of America"
doi:10.1088/2752-5309/ac7d69,W4283765007,10.1088/2752-5309/ac7d69,A5078908976,A5078908976,Jesse Burkhardt,jesse burkhardt,0000-0002-7631-0393,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, CO, United States of America"
doi:10.1088/2752-5309/ac7d69,W4283765007,10.1088/2752-5309/ac7d69,A5075009365,A5075009365,Sheryl Magzamen,sheryl magzamen,0000-0002-2874-3530,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Environmental and Radiological Health Sciences, Colorado State University, Fort Collins, CO, United States of America"
doi:10.1088/2752-5309/ac7d69,W4283765007,10.1088/2752-5309/ac7d69,A5040125395,A5040125395,Susan C. Anenberg,susan c anenberg,0000-0002-9668-603X,middle,FALSE,Milken Institute,https://ror.org/03f5t6469,US,nonprofit,"Milken Institute School of Public Health, George Washington University, Washington, DC, United States of America"
doi:10.1088/2752-5309/ac7d69,W4283765007,10.1088/2752-5309/ac7d69,A5040125395,A5040125395,Susan C. Anenberg,susan c anenberg,0000-0002-9668-603X,middle,FALSE,George Washington University,https://ror.org/00y4zzh67,US,education,"Milken Institute School of Public Health, George Washington University, Washington, DC, United States of America"
doi:10.1088/2752-5309/ac7d69,W4283765007,10.1088/2752-5309/ac7d69,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, CO, United States of America"
doi:10.1088/2752-5309/ac7d69,W4283765007,10.1088/2752-5309/ac7d69,A5016884073,A5016884073,Emily V. Fischer,emily v fischer,0000-0001-8298-3669,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Atmospheric Science, Colorado State University, Fort Collins, CO, United States of America"
doi:10.1088/2752-5309/ac7d69,W4283765007,10.1088/2752-5309/ac7d69,A5055116926,A5055116926,Jeffrey R. Pierce,jeffrey r pierce,0000-0002-4241-838X,last,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Atmospheric Science, Colorado State University, Fort Collins, CO, United States of America"
doi:10.1287/mnsc.2020.02074,W4388454759,10.1287/mnsc.2020.02074,A5078908976,A5078908976,Jesse Burkhardt,jesse burkhardt,0000-0002-7631-0393,first,FALSE,Resource (United States),https://ror.org/002sg8b56,US,company,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado 80523;"
doi:10.1287/mnsc.2020.02074,W4388454759,10.1287/mnsc.2020.02074,A5078908976,A5078908976,Jesse Burkhardt,jesse burkhardt,0000-0002-7631-0393,first,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado 80523;"
doi:10.1287/mnsc.2020.02074,W4388454759,10.1287/mnsc.2020.02074,A5070767048,A5070767048,Kenneth Gillingham,kenneth gillingham,0000-0002-7329-2660,middle,FALSE,Yale University,https://ror.org/03v76x132,US,education,"School of the Environment, Yale University, New Haven, Connecticut 06511;"
doi:10.1287/mnsc.2020.02074,W4388454759,10.1287/mnsc.2020.02074,A5000759766,A5000759766,Praveen K. Kopalle,praveen k kopalle,0000-0002-2430-2228,last,FALSE,Dartmouth College,https://ror.org/049s0rh22,US,education,"Dartmouth College, Tuck School of Business, Hanover, New Hampshire 03755"
doi:10.1038/s41467-024-54163-8,W4406001170,10.1038/s41467-024-54163-8,A5077922397,A5077922397,Kimberley A. Corwin,kimberley a corwin,0000-0002-1170-9395,first,TRUE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Atmospheric Science, Colorado State University, Fort Collins, CO, USA. kimberley.corwin@colostate.edu; Department of Atmospheric Science, Colorado State University, Fort Collins, CO, USA"
doi:10.1038/s41467-024-54163-8,W4406001170,10.1038/s41467-024-54163-8,A5078908976,A5078908976,Jesse Burkhardt,jesse burkhardt,0000-0002-7631-0393,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, CO, USA"
doi:10.1038/s41467-024-54163-8,W4406001170,10.1038/s41467-024-54163-8,A5077387852,A5077387852,Chelsea A. Corr,chelsea a corr,0000-0003-1204-7319,middle,FALSE,Springfield College,https://ror.org/02ak1t432,US,education,"Department of Biology/Chemistry, Springfield College, Springfield, MA, USA"
doi:10.1038/s41467-024-54163-8,W4406001170,10.1038/s41467-024-54163-8,A5072926886,A5072926886,Paul W. Stackhouse,paul w stackhouse,0000-0002-2047-310X,middle,FALSE,Langley Research Center,https://ror.org/0399mhs52,US,facility,"NASA Langley Research Center, Hampton, VA, USA"
doi:10.1038/s41467-024-54163-8,W4406001170,10.1038/s41467-024-54163-8,A5083765383,A5083765383,Amit Munshi,amit munshi,0000-0002-9949-9600,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Mechanical Engineering, Colorado State University, Fort Collins, CO, USA"
doi:10.1038/s41467-024-54163-8,W4406001170,10.1038/s41467-024-54163-8,A5016884073,A5016884073,Emily V. Fischer,emily v fischer,0000-0001-8298-3669,last,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Atmospheric Science, Colorado State University, Fort Collins, CO, USA"
doi:10.1093/jofore/fvac042,W4313336269,10.1093/jofore/fvac042,A5067759848,A5067759848,Matthew P. Thompson,matthew p thompson,0000-0002-2322-7756,first,TRUE,Rocky Mountain Research Station,https://ror.org/04347cr60,US,government,"Rocky Mountain Research Station, USDA Forest Service , Fort Collins, CO, 80526 , USA"
doi:10.1093/jofore/fvac042,W4313336269,10.1093/jofore/fvac042,A5066276803,A5066276803,Erin J. Belval,erin j belval,0000-0001-5895-5393,middle,FALSE,Rocky Mountain Research Station,https://ror.org/04347cr60,US,government,"Rocky Mountain Research Station, USDA Forest Service , Fort Collins, CO, 80526 , USA"
doi:10.1093/jofore/fvac042,W4313336269,10.1093/jofore/fvac042,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics, Colorado State University , Fort Collins, CO 80526 , USA"
doi:10.1093/jofore/fvac042,W4313336269,10.1093/jofore/fvac042,A5090515291,A5090515291,David E. Calkin,david e calkin,0000-0001-7281-4570,middle,FALSE,Rocky Mountain Research Station,https://ror.org/04347cr60,US,government,"Rocky Mountain Research Station, USDA Forest Service , Missoula, MT, 59802 , USA"
doi:10.1093/jofore/fvac042,W4313336269,10.1093/jofore/fvac042,A5090515291,A5090515291,David E. Calkin,david e calkin,0000-0001-7281-4570,middle,FALSE,Rocky Mountain Research (United States),https://ror.org/05f1fs902,US,company,"Rocky Mountain Research Station, USDA Forest Service , Missoula, MT, 59802 , USA"
doi:10.1093/jofore/fvac042,W4313336269,10.1093/jofore/fvac042,A5034149476,A5034149476,Crystal S. Stonesifer,crystal s stonesifer,NA,middle,FALSE,US Forest Service,https://ror.org/03zmjc935,US,government,"Lolo National Forest, USDA Forest Service , Missoula, MT, 59802 , USA"
doi:10.1093/jofore/fvac042,W4313336269,10.1093/jofore/fvac042,A5101965346,A5101965346,David Flores,david flores,0000-0003-1088-9854,last,FALSE,Rocky Mountain Research Station,https://ror.org/04347cr60,US,government,"Rocky Mountain Research Station, USDA Forest Service , Fort Collins, CO, 80526 , USA"
doi:10.1111/ajae.12439,W4388279823,10.1111/ajae.12439,A5039208828,A5039208828,Alexandra Hill,alexandra hill,NA,first,TRUE,"University of California, Berkeley",https://ror.org/01an7q238,US,education,"Department of Agricultural and Resource Economics University of California, Berkeley Berkeley California USA; Department of Agricultural and Resource Economics, University of California, Berkeley, Berkeley, California, USA"
doi:10.1111/ajae.12439,W4388279823,10.1111/ajae.12439,A5078908976,A5078908976,Jesse Burkhardt,jesse burkhardt,0000-0002-7631-0393,middle,FALSE,Resource (United States),https://ror.org/002sg8b56,US,company,"Department of Agricultural and Resource Economics Colorado State University Fort Collins Colorado USA; Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1111/ajae.12439,W4388279823,10.1111/ajae.12439,A5078908976,A5078908976,Jesse Burkhardt,jesse burkhardt,0000-0002-7631-0393,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics Colorado State University Fort Collins Colorado USA; Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1111/ajae.12439,W4388279823,10.1111/ajae.12439,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Resource (United States),https://ror.org/002sg8b56,US,company,"Department of Agricultural and Resource Economics Colorado State University Fort Collins Colorado USA; Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1111/ajae.12439,W4388279823,10.1111/ajae.12439,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics Colorado State University Fort Collins Colorado USA; Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1111/ajae.12439,W4388279823,10.1111/ajae.12439,A5082430066,A5082430066,Katelyn O’Dell,katelyn o dell,0000-0002-0198-6153,middle,FALSE,Milken Institute,https://ror.org/03f5t6469,US,nonprofit,"Department of Environmental and Occupational Health Milken Institute School of Public Health, George Washington University Washington DC USA; Department of Environmental and Occupational Health, Milken Institute School of Public Health, George Washington University, Washington, DC, USA"
doi:10.1111/ajae.12439,W4388279823,10.1111/ajae.12439,A5082430066,A5082430066,Katelyn O’Dell,katelyn o dell,0000-0002-0198-6153,middle,FALSE,George Washington University,https://ror.org/00y4zzh67,US,education,"Department of Environmental and Occupational Health Milken Institute School of Public Health, George Washington University Washington DC USA; Department of Environmental and Occupational Health, Milken Institute School of Public Health, George Washington University, Washington, DC, USA"
doi:10.1111/ajae.12439,W4388279823,10.1111/ajae.12439,A5035881670,A5035881670,Bonne Ford,bonne ford,0000-0002-7045-8346,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Atmospheric Sciences Colorado State University Fort Collins Colorado USA; Department of Atmospheric Sciences, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1111/ajae.12439,W4388279823,10.1111/ajae.12439,A5016884073,A5016884073,Emily V. Fischer,emily v fischer,0000-0001-8298-3669,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Atmospheric Sciences Colorado State University Fort Collins Colorado USA; Department of Atmospheric Sciences, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1111/ajae.12439,W4388279823,10.1111/ajae.12439,A5055116926,A5055116926,Jeffrey R. Pierce,jeffrey r pierce,0000-0002-4241-838X,last,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Atmospheric Sciences Colorado State University Fort Collins Colorado USA; Department of Atmospheric Sciences, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1080/00343404.2023.2166914,W4319067211,10.1080/00343404.2023.2166914,A5054061412,A5054061412,Nathan Palardy,nathan palardy,0000-0002-6396-3627,first,FALSE,University of Florida,https://ror.org/02y3ad647,US,education,"University of Florida Institute of Food and Agricultural Sciences, Food and Resource Economics Department, Gainesville, FL, USA"
doi:10.1080/00343404.2023.2166914,W4319067211,10.1080/00343404.2023.2166914,A5024307840,A5024307840,Marco Costanigro,marco costanigro,0000-0002-7104-097X,middle,TRUE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Colorado State University College of Agricultural Sciences, Department of Agricultural and Resource Economics, Fort Collins, CO, USA"
doi:10.1080/00343404.2023.2166914,W4319067211,10.1080/00343404.2023.2166914,A5026578677,A5026578677,Joseph P. Cannon,joseph p cannon,0000-0001-5218-1526,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Colorado State University College of Business, Department of Marketing, Fort Collins, CO, USA"
doi:10.1080/00343404.2023.2166914,W4319067211,10.1080/00343404.2023.2166914,A5051019392,A5051019392,Dawn Thilmany McFadden,dawn thilmany mcfadden,0000-0002-3974-0888,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Colorado State University College of Agricultural Sciences, Department of Agricultural and Resource Economics, Fort Collins, CO, USA"
doi:10.1080/00343404.2023.2166914,W4319067211,10.1080/00343404.2023.2166914,A5005396402,A5005396402,Joshua Berning,joshua berning,0000-0001-5128-2528,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Colorado State University College of Agricultural Sciences, Department of Agricultural and Resource Economics, Fort Collins, CO, USA"
doi:10.1080/00343404.2023.2166914,W4319067211,10.1080/00343404.2023.2166914,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Colorado State University College of Agricultural Sciences, Department of Agricultural and Resource Economics, Fort Collins, CO, USA"
doi:10.1080/00343404.2023.2166914,W4319067211,10.1080/00343404.2023.2166914,A5061233654,A5061233654,Jeff Callaway,jeff callaway,0000-0002-9885-3671,last,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Colorado State University College of Health and Human Sciences, Department of Food Science and Human Nutrition, Fort Collins, CO, USA"
doi:10.1002/aepp.13332,W4307650297,10.1002/aepp.13332,A5005396402,A5005396402,Joshua Berning,joshua berning,0000-0001-5128-2528,first,TRUE,Resource (United States),https://ror.org/002sg8b56,US,company,"Department of Agricultural and Resource Economics Colorado State University  Fort Collins Colorado USA; Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1002/aepp.13332,W4307650297,10.1002/aepp.13332,A5005396402,A5005396402,Joshua Berning,joshua berning,0000-0001-5128-2528,first,TRUE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics Colorado State University  Fort Collins Colorado USA; Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1002/aepp.13332,W4307650297,10.1002/aepp.13332,A5062332393,A5062332393,Alessandro Bonanno,alessandro bonanno,0000-0003-4066-1754,middle,FALSE,Resource (United States),https://ror.org/002sg8b56,US,company,"Department of Agricultural and Resource Economics Colorado State University  Fort Collins Colorado USA; Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1002/aepp.13332,W4307650297,10.1002/aepp.13332,A5062332393,A5062332393,Alessandro Bonanno,alessandro bonanno,0000-0003-4066-1754,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics Colorado State University  Fort Collins Colorado USA; Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1002/aepp.13332,W4307650297,10.1002/aepp.13332,A5026815066,A5026815066,Rebecca Cleary,rebecca cleary,0000-0003-1515-9156,last,FALSE,Resource (United States),https://ror.org/002sg8b56,US,company,"Department of Agricultural and Resource Economics Colorado State University  Fort Collins Colorado USA; Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1002/aepp.13332,W4307650297,10.1002/aepp.13332,A5026815066,A5026815066,Rebecca Cleary,rebecca cleary,0000-0003-1515-9156,last,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Department of Agricultural and Resource Economics Colorado State University  Fort Collins Colorado USA; Department of Agricultural and Resource Economics, Colorado State University, Fort Collins, Colorado, USA"
doi:10.1007/s12571-022-01322-8,W3084019073,10.1007/s12571-022-01322-8,A5005396402,A5005396402,Joshua Berning,joshua berning,0000-0001-5128-2528,first,TRUE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Colorado State University, Fort Collins, USA"
doi:10.1007/s12571-022-01322-8,W3084019073,10.1007/s12571-022-01322-8,A5007537702,A5007537702,Caroline Norris,caroline norris,NA,middle,FALSE,Federal Reserve Board of Governors,https://ror.org/00v448643,US,government,"Federal Reserve Board, Washington, D.C., USA"
doi:10.1007/s12571-022-01322-8,W3084019073,10.1007/s12571-022-01322-8,A5026815066,A5026815066,Rebecca Cleary,rebecca cleary,0000-0003-1515-9156,last,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Colorado State University, Fort Collins, USA"
doi:10.1029/2022gh000648,W4304206881,10.1029/2022gh000648,A5018910253,A5018910253,Douglas A. Becker,douglas a becker,0000-0002-9837-1349,first,TRUE,University of Idaho,https://ror.org/03hbp5t65,US,education,"Agricultural Economics and Rural Sociology University of Idaho  Moscow ID USA; Agricultural Economics and Rural Sociology, University of Idaho, Moscow, ID, USA"
doi:10.1029/2022gh000648,W4304206881,10.1029/2022gh000648,A5014343102,A5014343102,Alex Maas,alex maas,0000-0002-6689-3628,middle,FALSE,University of Idaho,https://ror.org/03hbp5t65,US,education,"Agricultural Economics and Rural Sociology University of Idaho  Moscow ID USA; Agricultural Economics and Rural Sociology, University of Idaho, Moscow, ID, USA"
doi:10.1029/2022gh000648,W4304206881,10.1029/2022gh000648,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Colorado State University,https://ror.org/03k1gpj17,US,education,"Colorado State University  Fort Collins CO USA; Colorado State University, Fort Collins, CO, USA"
doi:10.1029/2022gh000648,W4304206881,10.1029/2022gh000648,A5051213132,A5051213132,James Crooks,james crooks,0000-0002-0021-5701,last,FALSE,National Jewish Health,https://ror.org/016z2bp30,US,healthcare,"Division of Biostatistics and Bioinformatics National Jewish Health  Denver CO USA; Division of Biostatistics and Bioinformatics, National Jewish Health, Denver, CO, USA"
doi:10.1029/2022gh000648,W4304206881,10.1029/2022gh000648,A5051213132,A5051213132,James Crooks,james crooks,0000-0002-0021-5701,last,FALSE,University of Colorado Denver,https://ror.org/02hh7en24,US,education,"Division of Biostatistics and Bioinformatics National Jewish Health  Denver CO USA; Division of Biostatistics and Bioinformatics, National Jewish Health, Denver, CO, USA"
doi:10.1002/aepp.13098,W3093424154,10.1002/aepp.13098,A5063900109,A5063900109,Lauren Chenarides,lauren chenarides,0000-0001-8983-9694,first,TRUE,NA,NA,NA,NA,
doi:10.1002/aepp.13098,W3093424154,10.1002/aepp.13098,A5062332393,A5062332393,Alessandro Bonanno,alessandro bonanno,0000-0003-4066-1754,middle,FALSE,NA,NA,NA,NA,
doi:10.1002/aepp.13098,W3093424154,10.1002/aepp.13098,A5001144475,A5001144475,Anne Palmer,anne palmer,0000-0001-7299-8592,last,FALSE,NA,NA,NA,NA,
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5080849002,A5080849002,Andrea G. Buchwald,andrea g buchwald,0000-0001-6503-6459,first,FALSE,"University of Maryland, Baltimore",https://ror.org/04rq5mt64,US,education,"Current affi liation: University of Maryland School of Medicine, Baltimore, Maryland, USA"
doi:10.3201/eid2709.204167,W3174989026,10.3201/eid2709.204167,A5008159637,A5008159637,Jude Bayham,jude bayham,0000-0001-5383-2714,middle,FALSE,Colorado Department of Public Health and Environment,https://ror.org/019rjbt98,US,government,"Colorado State University, Fort Collins, Colorado, USA (J. Bayham);; University of Colorado School of Medicine, Aurora (K. Colborn); Colorado Department of Public Health and Environment, Denver (R. Herlihy; University of Colorado, Denver, Colorado, USA (J. Adams);; Colorado School of Public Health, Aurora, Colorado, USA; University of Colorado, Boulder, Colorado, USA (D. Bortz);"
