last,first,area,year,type,index_class,student_coauthor,dare_coauthors,dare_coauthors_names,title_short,venue,doi,source_file,openalex_work_id,openalex_type,type_mapping_rule,type_requires_review,extension_output,added_from_openalex,added_from_coauthor,author_match_rule,discovery_date,edge_2026,doi_clean,publication_key,affiliated_at_publication,affiliation_status,journal_norm,impact_factor,if_year_used,if_match_rule,oa_id,doi_raw,oa_title,oa_year,oa_date,oa_type,cited_by_count,oa_venue,oa_issn_l,oa_publisher,is_oa,is_retracted,n_authors,n_grad_coauthors,grad_coauthors,any_student_at_pub,student_cv,student_cv_conflict,year_canonical,year_conflict,year_disagrees,student_coauthor_final,student_evidence,in_reporting_window
Jablonski,Becca,Ag and Food,2021,JA,a,U,1,Costanigro;Jablonski,Promoting Farmers Markets via Information Nudges and Coupons,Agribusiness: An International Journal,10.1002/agr.21688,costanigromarco.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1002/agr.21688,doi:10.1002/agr.21688,1,Active CSU affiliation,agribusiness international journal,2.841,2021,Exact journal-year,W3121785173,https://doi.org/10.1002/agr.21688,Promoting farmers market via information nudges and coupons: A randomized control trial,2021,2021-01-25,article,10,Agribusiness,0742-4477,Wiley,FALSE,FALSE,3,1,Nicole Didero,FALSE,Y,TRUE,2021,FALSE,FALSE,Y,CV only,TRUE
Cleary,Rebecca,Ag and Food,2022,JA,a,U,0,NA,Food Retail Profits Competition and the Great Recession,Agribusiness: An International Journal,10.1002/agr.21743,chenarideslauren.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1002/agr.21743,doi:10.1002/agr.21743,1,Active CSU affiliation,agribusiness international journal,3.2,2022,Exact journal-year,W4281647998,https://doi.org/10.1002/agr.21743,"Food retail profits, competition, and the Great Recession",2022,2022-05-27,article,6,Agribusiness,0742-4477,Wiley,TRUE,FALSE,2,NA,NA,NA,U,FALSE,2022,FALSE,FALSE,U,Undetermined,TRUE
Chenarides,Lauren,Ag and Food,2025,JA,a,N,0,NA,Grocery Stockouts and Seller Performance in Amazon's Marketplaces,Agribusiness: An International Journal,10.1002/agr.22051,chenarideslauren.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1002/agr.22051,doi:10.1002/agr.22051,1,Active CSU affiliation,agribusiness international journal,2.4,2025,Exact journal-year,W4409601532,https://doi.org/10.1002/agr.22051,Grocery Stockouts and Seller Performance in Amazon's Marketplaces,2025,2025-04-18,article,0,Agribusiness,0742-4477,Wiley,TRUE,FALSE,3,NA,NA,NA,N,FALSE,2025,FALSE,FALSE,N,Neither,TRUE
Thilmany,Dawn,Ag and Food,2025,JA,a,N,0,NA,A Baseline Assessment of School Food Spending and Local Procurement,Agricultural and Resource Economics Review,10.1017/age.2025.11,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1017/age.2025.11,doi:10.1017/age.2025.11,1,Active CSU affiliation,agricultural resource economics review,2,2025,Exact journal-year,W4409114506,https://doi.org/10.1017/age.2025.11,A roadmap for modeling institutional and values-based procurement decisions in food supply chains,2025,2025-04-01,article,2,Agricultural and Resource Economics Review,1068-2805,Cambridge University Press,TRUE,FALSE,4,1,Erin Love,FALSE,N,FALSE,2025,FALSE,FALSE,N,Neither,TRUE
Delay,Nathan,Ag and Food,2023,JA,a,Y,0,NA,Estimating US Farmers Speed of Climate Change Adaptation: Subsurface Tile Drainage,Agricultural Finance Review,10.1108/AFR-02-2023-0027,delaynathan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1108/afr-02-2023-0027,doi:10.1108/afr-02-2023-0027,1,Active CSU affiliation,agricultural finance review,1.9,2024,Nearest year (2024),W4386790550,https://doi.org/10.1108/afr-02-2023-0027,Estimating US farmers' speed of climate change adaptation: the case of subsurface tile drainage,2023,2023-09-15,article,1,Agricultural Finance Review,0002-1466,Emerald Publishing Limited,FALSE,FALSE,2,NA,NA,NA,Y,FALSE,2023,FALSE,FALSE,Y,CV only,TRUE
Jablonski,Becca,Ag and Food,2022,JA,a,U,1,Jablonski;Thilmany,The profitability implications of sales through local food markets for beginning farmers,Agricultural Finance Review,10.1108/AFR-05-2021-0056,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1108/afr-05-2021-0056,doi:10.1108/afr-05-2021-0056,1,Active CSU affiliation,agricultural finance review,1.9,2024,Nearest year (2024),W4293087468,https://doi.org/10.1108/afr-05-2021-0056,The profitability implications of sales through local food markets for beginning farmers and ranchers,2022,2022-03-23,article,22,Agricultural Finance Review,0002-1466,Emerald Publishing Limited,TRUE,FALSE,5,NA,NA,NA,N,TRUE,2022,FALSE,FALSE,N,Neither,TRUE
Thilmany,Dawn,Ag and Food,2022,JA,a,N,1,Jablonski;Thilmany,The profitability implications of sales through local food markets for beginning farmers,Agricultural Finance Review,10.1108/AFR-05-2021-0056,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1108/afr-05-2021-0056,doi:10.1108/afr-05-2021-0056,1,Active CSU affiliation,agricultural finance review,1.9,2024,Nearest year (2024),W4293087468,https://doi.org/10.1108/afr-05-2021-0056,The profitability implications of sales through local food markets for beginning farmers and ranchers,2022,2022-03-23,article,22,Agricultural Finance Review,0002-1466,Emerald Publishing Limited,TRUE,FALSE,5,NA,NA,NA,N,TRUE,2022,FALSE,FALSE,N,Neither,TRUE
Jablonski,Becca,Ag and Food,2022,JA,a,U,1,Jablonski;Thilmany,Unique Financing Strategies Among Beginning Farmers and Ranchers,Agricultural Finance Review,10.1108/AFR-05-2021-0070,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1108/afr-05-2021-0070,doi:10.1108/afr-05-2021-0070,1,Active CSU affiliation,agricultural finance review,1.9,2024,Nearest year (2024),W4200169516,https://doi.org/10.1108/afr-05-2021-0070,Unique financing strategies among beginning farmers and ranchers: differences among multigenerational and beginning operations,2021,2021-12-08,article,12,Agricultural Finance Review,0002-1466,Emerald Publishing Limited,FALSE,FALSE,5,NA,NA,NA,N,TRUE,2022,FALSE,TRUE,N,Neither,TRUE
Thilmany,Dawn,Ag and Food,2022,JA,a,N,1,Jablonski;Thilmany,Unique Financing Strategies Among Beginning Farmers and Ranchers,Agricultural Finance Review,10.1108/AFR-05-2021-0070,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1108/afr-05-2021-0070,doi:10.1108/afr-05-2021-0070,1,Active CSU affiliation,agricultural finance review,1.9,2024,Nearest year (2024),W4200169516,https://doi.org/10.1108/afr-05-2021-0070,Unique financing strategies among beginning farmers and ranchers: differences among multigenerational and beginning operations,2021,2021-12-08,article,12,Agricultural Finance Review,0002-1466,Emerald Publishing Limited,FALSE,FALSE,5,NA,NA,NA,N,TRUE,2022,FALSE,TRUE,N,Neither,TRUE
Bonanno,Alessandro,Ag and Food,2023,JA,a,N,1,Bonanno;Jablonski,Beginning farmer status and financial performance differentials,Agricultural Finance Review,10.1108/AFR-05-2023-0054,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1108/afr-05-2023-0054,doi:10.1108/afr-05-2023-0054,1,Active CSU affiliation,agricultural finance review,1.9,2024,Nearest year (2024),W4386804267,https://doi.org/10.1108/afr-05-2023-0054,Beginning farmer status and financial performance differentials,2023,2023-09-16,article,1,Agricultural Finance Review,0002-1466,Emerald Publishing Limited,FALSE,FALSE,4,NA,NA,NA,N,TRUE,2023,FALSE,FALSE,N,Neither,TRUE
Jablonski,Becca,Ag and Food,2023,JA,a,U,1,Bonanno;Jablonski,Beginning farmer status and financial performance differentials,Agricultural Finance Review,10.1108/AFR-05-2023-0054,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1108/afr-05-2023-0054,doi:10.1108/afr-05-2023-0054,1,Active CSU affiliation,agricultural finance review,1.9,2024,Nearest year (2024),W4386804267,https://doi.org/10.1108/afr-05-2023-0054,Beginning farmer status and financial performance differentials,2023,2023-09-16,article,1,Agricultural Finance Review,0002-1466,Emerald Publishing Limited,FALSE,FALSE,4,NA,NA,NA,N,TRUE,2023,FALSE,FALSE,N,Neither,TRUE
Goemans,Chris,ENRE,2022,JA,a,N,1,Goemans;Manning,Remote sensing of field-scale irrigation withdrawals in the central Ogallala aquifer,Agricultural Water Management,10.1016/j.agwat.2022.107764,goemanschris.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1016/j.agwat.2022.107764,doi:10.1016/j.agwat.2022.107764,1,Active CSU affiliation,agricultural water management,6.7,2022,Exact journal-year,W4282928459,https://doi.org/10.1016/j.agwat.2022.107764,Remote sensing of field-scale irrigation withdrawals in the central Ogallala aquifer region,2022,2022-06-15,article,23,Agricultural Water Management,0378-3774,Elsevier BV,FALSE,FALSE,6,NA,NA,NA,N,TRUE,2022,FALSE,FALSE,N,Neither,TRUE
Manning,Dale,ENRE,2022,JA,a,U,1,Goemans;Manning,Remote sensing of field-scale irrigation withdrawals in the central Ogallala aquifer,Agricultural Water Management,10.1016/j.agwat.2022.107764,goemanschris.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1016/j.agwat.2022.107764,doi:10.1016/j.agwat.2022.107764,1,Active CSU affiliation,agricultural water management,6.7,2022,Exact journal-year,W4282928459,https://doi.org/10.1016/j.agwat.2022.107764,Remote sensing of field-scale irrigation withdrawals in the central Ogallala aquifer region,2022,2022-06-15,article,23,Agricultural Water Management,0378-3774,Elsevier BV,FALSE,FALSE,6,NA,NA,NA,N,TRUE,2022,FALSE,FALSE,N,Neither,TRUE
Mooney,Daniel,Ag and Food,2023,JA,a,Y,0,NA,Developing a Crop Water Production Function for Alfalfa Under Deficit Irrigation,Agriculture,10.3390/agriculture13040831,mooneydaniel.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.3390/agriculture13040831,doi:10.3390/agriculture13040831,1,Active CSU affiliation,agriculture,NA,NA,No IF match,W4362614797,https://doi.org/10.3390/agriculture13040831,Developing a Crop Water Production Function for Alfalfa under Deficit Irrigation: A Case Study in Eastern Colorado,2023,2023-04-04,article,8,Agriculture,2077-0472,Multidisciplinary Digital Publishing Institute,TRUE,FALSE,5,NA,NA,NA,Y,FALSE,2023,FALSE,FALSE,Y,CV only,TRUE
Bayham,Jude,ENRE,2026,JA,a,Y,1,Bayham;Berning;Bonanno,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,1,10.1002/ajae.70071,doi:10.1002/ajae.70071,1,Active CSU affiliation,american journal agricultural economics,4.9,2025,Nearest year (2025),W7152708484,https://doi.org/10.1002/ajae.70071,Food insecurity and unemployment among immigrants in the United States,2026,2026-04-09,article,0,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,4,1,Siwen Zhou,FALSE,Y,TRUE,2026,FALSE,FALSE,Y,CV only,FALSE
Berning,Joshua,Ag and Food,2026,JA,a,N,1,Bayham;Berning;Bonanno,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,1,10.1002/ajae.70071,doi:10.1002/ajae.70071,1,Active CSU affiliation,american journal agricultural economics,4.9,2025,Nearest year (2025),W7152708484,https://doi.org/10.1002/ajae.70071,Food insecurity and unemployment among immigrants in the United States,2026,2026-04-09,article,0,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,4,1,Siwen Zhou,FALSE,Y,TRUE,2026,FALSE,FALSE,Y,CV only,FALSE
Bonanno,Alessandro,Ag and Food,2026,JA,a,N,1,Bayham;Berning;Bonanno,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,1,10.1002/ajae.70071,doi:10.1002/ajae.70071,1,Active CSU affiliation,american journal agricultural economics,4.9,2025,Nearest year (2025),W7152708484,https://doi.org/10.1002/ajae.70071,Food insecurity and unemployment among immigrants in the United States,2026,2026-04-09,article,0,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,4,1,Siwen Zhou,FALSE,Y,TRUE,2026,FALSE,FALSE,Y,CV only,FALSE
Graff,Gregory,Ag and Food,2026,JA,a,N,0,NA,The role of venture-financed startups in innovation for US agriculture,American Journal of Agricultural Economics,10.1002/ajae.70083,graffgregory.txt,NA,NA,NA,0,0,0,0,NA,NA,1,10.1002/ajae.70083,doi:10.1002/ajae.70083,1,Active CSU affiliation,american journal agricultural economics,4.9,2025,Nearest year (2025),W7164191810,https://doi.org/10.1002/ajae.70083,The role of venture‐financed startups in innovation for US agriculture,2026,2026-06-10,article,0,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,3,NA,NA,NA,N,FALSE,2026,FALSE,FALSE,N,Neither,FALSE
Magnan,Nicholas,Ag and Food,2021,JA,a,Y,0,NA,Can Experiential Games and Improved Risk Coverage Raise Demand for Index Insurance,American Journal of Agricultural Economics,10.1111/ajae.12124,magnannicholas.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1111/ajae.12124,doi:10.1111/ajae.12124,0,Outside active CSU affiliation,american journal agricultural economics,4.2,2022,Nearest year (2022),W3048471999,https://doi.org/10.1111/ajae.12124,Can Experiential Games and Improved Risk Coverage Raise Demand for Index Insurance? Evidence from Kenya,2020,2020-08-12,article,24,American Journal of Agricultural Economics,0002-9092,Wiley,FALSE,FALSE,7,NA,NA,NA,Y,FALSE,2021,FALSE,TRUE,Y,CV only,TRUE
Burkhardt,Jesse,ENRE,2021,JA,a,U,1,Burkhardt;Hill,Peers in the Field: Ability and Gender in Peer Effects among Agricultural Workers,American Journal of Agricultural Economics,10.1111/ajae.12192,hillalexandra.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1111/ajae.12192,doi:10.1111/ajae.12192,1,Active CSU affiliation,american journal agricultural economics,4.2,2022,Nearest year (2022),W3130764381,https://doi.org/10.1111/ajae.12192,Peers in the Field: The Role of Ability and Gender in Peer Effects among Agricultural Workers,2021,2021-02-16,article,12,American Journal of Agricultural Economics,0002-9092,Wiley,FALSE,FALSE,2,NA,NA,NA,N,TRUE,2021,FALSE,FALSE,N,Neither,TRUE
Hill,Alexandra,Ag and Food,2021,JA,a,N,1,Burkhardt;Hill,Peers in the Field: Ability and Gender in Peer Effects among Agricultural Workers,American Journal of Agricultural Economics,10.1111/ajae.12192,hillalexandra.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1111/ajae.12192,doi:10.1111/ajae.12192,1,Active CSU affiliation,american journal agricultural economics,4.2,2022,Nearest year (2022),W3130764381,https://doi.org/10.1111/ajae.12192,Peers in the Field: The Role of Ability and Gender in Peer Effects among Agricultural Workers,2021,2021-02-16,article,12,American Journal of Agricultural Economics,0002-9092,Wiley,FALSE,FALSE,2,NA,NA,NA,N,TRUE,2021,FALSE,FALSE,N,Neither,TRUE
Countryman,Amanda,Ag and Food,2021,JA,a,N,0,NA,The Importance of Agriculture in the Economy: Impacts from COVID-19,American Journal of Agricultural Economics,10.1111/ajae.12212,countrymanamanda.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1111/ajae.12212,doi:10.1111/ajae.12212,1,Active CSU affiliation,american journal agricultural economics,4.2,2022,Nearest year (2022),W3130877874,https://doi.org/10.1111/ajae.12212,The Importance of Agriculture in the Economy: Impacts from <scp>COVID</scp>‐19,2021,2021-02-22,article,189,American Journal of Agricultural Economics,0002-9092,Wiley,TRUE,FALSE,2,NA,NA,NA,N,FALSE,2021,FALSE,FALSE,N,Neither,TRUE
Burkhardt,Jesse,ENRE,2022,JA,a,N,0,NA,Conformity and Conservation: Home Landscaping and Water Conservation,American Journal of Agricultural Economics,10.1111/ajae.12224,burkhardtjesse.txt,NA,NA,NA,0,0,0,0,NA,NA,0,10.1111/ajae.12224,doi:10.1111/ajae.12224,1,Active CSU affiliation,american journal agricultural economics,4.2,2022,Exact journal-year,W3157171384,https://doi.org/10.1111/ajae.12224,Conformity and Conservation: Evidence from Home Landscaping and Water Conservation,2021,2021-05-05,article,9,American Journal of Agricultural Economics,0002-9092,Wiley,FALSE,FALSE,4,NA,NA,NA,N,FALSE,2022,FALSE,TRUE,N,Neither,TRUE
