publication_key,year,type,index_class,title_short,venue,doi,cited_by_count,impact_factor,n_dare_authors,faculty_names,faculty_last_names,research_areas,cross_area_publication,internal_collaboration,student_coauthored,added_from_coauthor_any,journal_article_countable,verified_peer_reviewed,in_reporting_window,edge_2026
doi:10.1111/ajae.12192,2021,JA,a,Peers in the Field: Ability and Gender in Peer Effects among Agricultural Workers,American Journal of Agricultural Economics,10.1111/ajae.12192,12,4.2,2,Alexandra Hill; Jesse Burkhardt,Burkhardt; Hill,Ag and Food; ENRE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1086/714148,2021,JA,a,Policy Leakage or Policy Benefit? Spatial Spillovers from Conservation Policies,Journal of the Association of Environmental and Resource Economists,10.1086/714148,4,3.2,3,Chris Goemans; Dale Manning; Jordan Suter,Goemans; Manning; Suter,ENRE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.317782,2021,JA,b,Potential Impacts of Hard Infrastructure Development on Food and Agricultural Trade,Journal of Food Distribution Research,10.22004/ag.econ.317782,NA,NA,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/agr.21688,2021,JA,a,Promoting Farmers Markets via Information Nudges and Coupons,Agribusiness: An International Journal,10.1002/agr.21688,10,2.841,2,Becca Jablonski; Marco Costanigro,Costanigro; Jablonski,Ag and Food,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
titleyear:recent trends in pa technology adoption and bundling in corn|2021,2021,JA,b,Recent Trends in PA Technology Adoption and Bundling in Corn Production,Western Economics Forum,NA,NA,NA,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1038/s41598-021-82574-w,2021,JA,a,Risk compensation and face mask mandates during the COVID-19 pandemic,Scientific Reports,10.1038/s41598-021-82574-w,102,4.996,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/qopen/qoab018,2021,JA,a,Safeguard Measures and Fresh Produce Trade: U.S. Blueberry Imports,Q Open,10.1093/qopen/qoab018,2,2.3,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13130,2021,JA,a,School Meals and Quality of Household Food Acquisitions,Applied Economic Perspectives and Policy,10.1002/aepp.13130,1,4.89,2,Alessandro Bonanno; Rebecca Cleary,Bonanno; Cleary,Ag and Food,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.buildenv.2021.108390,2021,JA,a,Sociodemographic variations in indoor environmental quality and student performance,Building and Environment,10.1016/j.buildenv.2021.108390,18,7.093,1,Jordan Suter,Suter,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/josh.13013,2021,JA,a,The Impact of State Farm to School Procurement Incentives on School Purchasing Decisions,Journal of School Health,10.1111/josh.13013,10,2.46,3,Becca Jablonski; Marco Costanigro; Marshall Frasier,Costanigro; Frasier; Jablonski,Ag and Food,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/qopen/qoab005,2021,JA,a,"The Impacts of COVID-19 on GDP, food prices, and food security",Q Open,10.1093/qopen/qoab005,51,2.3,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/ajae.12212,2021,JA,a,The Importance of Agriculture in the Economy: Impacts from COVID-19,American Journal of Agricultural Economics,10.1111/ajae.12212,189,4.2,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.3368/wple.97.3.030320-0031r1,2021,JA,a,The Importance of Well Yield in Groundwater Demand Specification,Land Economics,10.3368/wple.97.3.030320-0031r1,1,2.03,1,Jordan Suter,Suter,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1038/s41559-020-01372-1,2021,JA,a,The effectiveness of national biodiversity investments to protect the wealth of nature,Nature Ecology and Evolution,10.1038/s41559-020-01372-1,47,19.1,1,Andrew Seidl,Seidl,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.54605/fec20210204,2021,JA,b,Time Reallocation and the Cost and Benefit of School Closures During an Epidemic,Frontiers of Economics in China,10.54605/fec20210204,1,NA,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.foodpol.2021.102045,2021,JA,a,Too Cool for Farm to School? Determinants of Farm to School Programming Continuation,Food Policy,10.1016/j.foodpol.2021.102045,15,6.08,1,Alessandro Bonanno,Bonanno,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1007/s11119-021-09807-w,2021,JA,a,Understanding the Farm Data Lifecycle,Precision Agriculture,10.1007/s11119-021-09807-w,19,5.767,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.3390/su13169375,2021,JA,a,Valuing Cattle Manure as an Agricultural Resource for Efficiency and Environmental Sustainability,Sustainability,10.3390/su13169375,2,3.889,1,Dana Hoag,Hoag,ENRE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
titleyear:price discovery in fed cattle and beef markets does volume o|2021,2021,RP,NA,Price Discovery in Fed Cattle and Beef Markets: Does Volume of Cash Trade Have an Impact,American Farm Bureau Federation Research Report,NA,NA,NA,1,Stephen Koontz,Koontz,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
doi:10.1111/ajae.12198,2021,RP,NA,Reputation Leaders and Quality Laggards (book review AJAE),American Journal of Agricultural Economics,10.1111/ajae.12198,0,4.2,1,Marco Costanigro,Costanigro,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
doi:10.4337/9781788114288.00018,2022,BC,NA,A Small Collection of Pen-and-Paper Classroom Experiments for Teaching Environmental Economics,Teaching Environmental and Natural Resource Economics,10.4337/9781788114288.00018,0,NA,1,Stephan Kroll,Kroll,ENRE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
doi:10.1201/9781003149774-10,2022,BC,NA,An Introduction to the Economics of Climate Change and Animal Health,Climate Change and Animal Health,10.1201/9781003149774-10,0,NA,2,Andrew Seidl; Gregory Graff,Graff; Seidl,Ag and Food,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
titleyear:framing and evaluating the economic impacts of food system p|2022,2022,BC,NA,"Framing and evaluating the economic impacts of food system policies, programs and initiatives",Food Systems Modeling (Elsevier),NA,NA,NA,2,Becca Jablonski; Dawn Thilmany,Jablonski; Thilmany,Ag and Food,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0
titleyear:inquiry within between and beyond disciplines|2022,2022,BC,NA,"Inquiry within, between, and beyond disciplines",Food Systems Modeling (Elsevier),NA,NA,NA,1,Becca Jablonski,Jablonski,Ag and Food,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0
doi:10.1016/j.rala.2021.02.004,2022,JA,b,Adaptive Grazing Management in Semiarid Rangelands: An Outcome-driven Focus,Rangelands,10.1016/j.rala.2021.02.004,30,NA,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.5032/jae.2022.03135,2022,JA,b,Agrarianism in Agricultural Education: A Narrative Study,Journal of Agricultural Education,10.5032/jae.2022.03135,0,NA,1,Kellie Enns,Enns,Ag Ed,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
titleyear:agritourism extension in the united states|2022,2022,JA,b,Agritourism Extension in the United States,Applied Economics Teaching Resources,NA,NA,NA,1,Dawn Thilmany,Thilmany,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.rala.2022.05.003,2022,JA,b,Balancing Ecosystem Service Outcomes at the Ranch-Scale in Shortgrass Steppe,Rangelands,10.1016/j.rala.2022.05.003,10,NA,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/ajae.12224,2022,JA,a,Conformity and Conservation: Home Landscaping and Water Conservation,American Journal of Agricultural Economics,10.1111/ajae.12224,9,4.2,1,Jesse Burkhardt,Burkhardt,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/wat2.1586,2022,JA,a,Data availability and sector-specific frameworks restrict drought impact quantification,WIREs Water,10.1002/wat2.1586,1,8.2,1,Jesse Burkhardt,Burkhardt,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1080/21606544.2022.2059015,2022,JA,a,Does air pollution increase electric vehicle adoption,Journal of Environmental Economics and Policy,10.1080/21606544.2022.2059015,11,1.2,2,Jesse Burkhardt; Jude Bayham,Bayham; Burkhardt,ENRE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1093/qopen/qoac028,2022,JA,a,Economic Assessment of Foot-and-Mouth Disease Outbreaks in Brazil,Q Open,10.1093/qopen/qoac028,15,2.3,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
titleyear:economic consequences of the wolf comeback in the western un|2022,2022,JA,b,Economic Consequences of the Wolf Comeback in the Western United States,Western Economics Forum,NA,NA,NA,1,Dana Hoag,Hoag,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.jenvman.2021.113779,2022,JA,a,Economic and Environmental Impacts of Ballast Water Management on SIDS and LDCs,Journal of Environmental Management,10.1016/j.jenvman.2021.113779,2,8.7,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1086/720303,2022,JA,a,Ecosystem Services and Land Rental Markets: Producer Costs of Bat Population Crashes,Journal of the Association of Environmental and Resource Economists,10.1086/720303,14,3.2,1,Dale Manning,Manning,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.smallrumres.2021.106611,2022,JA,a,Effects of Feed Efficiency and Diet on Performance and Carcass Characteristics in Growing Wether Lambs,Small Ruminant Research,10.1016/j.smallrumres.2021.106611,20,1.8,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.15232/aas.2022-02322,2022,JA,a,Effects of Harvest Season on Carcass Characteristics of Lambs Harvested in the Intermountain West,Applied Animal Science,10.15232/aas.2022-02322,3,1.5,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.13031/jash.15039,2022,JA,a,Estimating the Nonfatal Injury Undercount in Agriculture from 2004-2019,Journal of Agricultural Safety and Health,10.13031/jash.15039,8,0.9,1,Alexandra Hill,Hill,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.rama.2022.09.003,2022,JA,a,Evaluating economic impacts of prairie dog-cattle competition on ranching enterprises,Rangeland Ecology & Management,10.1016/j.rama.2022.09.003,10,2.3,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.jebo.2021.12.012,2022,JA,a,Experimental Evidence of Common Pool Resource Use in the Presence of Uncertainty,Journal of Economic Behavior and Organization,10.1016/j.jebo.2021.12.012,22,2.3,1,Jordan Suter,Suter,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.ijpe.2022.108534,2022,JA,a,Facility Locations in the Fresh Produce Supply Chain,International Journal of Production Economics,10.1016/j.ijpe.2022.108534,27,12,1,Rebecca Cleary,Cleary,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
titleyear:farm level economics of bioenergy in the upper missouri rive|2022,2022,JA,b,Farm-Level Economics of Bioenergy in the Upper Missouri River Basin,Journal of the American Society of Farm Managers and Rural Appraisers,NA,NA,NA,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/agr.21743,2022,JA,a,Food Retail Profits Competition and the Great Recession,Agribusiness: An International Journal,10.1002/agr.21743,6,3.2,1,Rebecca Cleary,Cleary,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/ajae.12231,2022,JA,a,Impacts of Block-Rate Energy Pricing on Groundwater Demand in Irrigated Agriculture,American Journal of Agricultural Economics,10.1111/ajae.12231,11,4.2,3,Chris Goemans; Dale Manning; Jordan Suter,Goemans; Manning; Suter,ENRE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1029/2021wr030712,2022,JA,a,Implicit and Explicit Biases for Recycled Water and Tap Water,Water Resources Research,10.1029/2021wr030712,19,5.4,1,Marco Costanigro,Costanigro,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1007/s10640-022-00690-1,2022,JA,a,Lottery Incentives and Resource Management: Evidence from AgDRIP,Environmental and Resource Economics,10.1007/s10640-022-00690-1,3,4.955,1,Jordan Suter,Suter,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.idm.2022.07.003,2022,JA,a,Model-Based Evaluation of Policy Impacts and COVID-19 Risk at Long Term Care Facilities,Infectious Disease Modelling,10.1016/j.idm.2022.07.003,13,2.5,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1038/s41598-022-12253-x,2022,JA,a,Modeling the systemic risks of COVID-19 on the wildland firefighting workforce,Scientific Reports,10.1038/s41598-022-12253-x,5,4.6,1,Jude Bayham,Bayham,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.wre.2022.100212,2022,JA,a,More Risk More Money: When are Payments for Water Savings from Limited Irrigation Profitable,Water Resources and Economics,10.1016/j.wre.2022.100212,10,2.2,2,Dana Hoag; Daniel Mooney,Hoag; Mooney,Ag and Food; ENRE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.22004/ag.econ.329528,2022,JA,b,Opportunities and Challenges Associated with Carbon Farming for US Row-Crop Producers,Choices,10.22004/ag.econ.329528,NA,NA,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13256,2022,JA,a,Opportunities to support beginning farmers and ranchers in the 2023 Farm Bill,Applied Economic Perspectives and Policy,10.1002/aepp.13256,18,5.8,2,Becca Jablonski; Dawn Thilmany,Jablonski; Thilmany,Ag and Food,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1088/2752-5309/ac7d69,2022,JA,a,Outside in: indoor and outdoor particulate air quality during wildfire smoke events,Environmental Research: Health,10.1088/2752-5309/ac7d69,52,8.3,2,Jesse Burkhardt; Jude Bayham,Bayham; Burkhardt,ENRE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1002/aepp.13302,2022,JA,a,Potential Beef Cattle Topics in the 2023 Farm Bill,Applied Economic Perspectives and Policy,10.1002/aepp.13302,0,5.8,1,Stephen Koontz,Koontz,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/1477-9552.12440,2022,JA,a,Precision Agriculture Adoption and Technical Efficiency,Journal of Agricultural Economics,10.1111/1477-9552.12440,9,3.4,1,Nathan Delay,Delay,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1111/csp2.12632,2022,JA,b,Rapid changes in public perception toward wolves,Conservation Science,10.1111/csp2.12632,43,NA,1,Dana Hoag,Hoag,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1016/j.agwat.2022.107764,2022,JA,a,Remote sensing of field-scale irrigation withdrawals in the central Ogallala aquifer,Agricultural Water Management,10.1016/j.agwat.2022.107764,23,6.7,2,Chris Goemans; Dale Manning,Goemans; Manning,ENRE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.3390/su14052859,2022,JA,a,Returns to Disease Resistance Research when Pest Management is an Option,Sustainability,10.3390/su14052859,7,3.9,1,Daniel Mooney,Mooney,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
doi:10.1029/2022jd037446,2022,JA,a,Smoke-Driven Changes in Photosynthetically Active Radiation During US Growing Season,Journal of Geophysical Research: Atmospheres,10.1029/2022jd037446,11,4.4,1,Jesse Burkhardt,Burkhardt,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0
