year,output_type,undergraduate_or_graduate_participation,research_area,title,conference_journal_or_venue,peer_reviewed_or_juried,external_collaborator,resulting_placement_award_or_outcome,student_evidence,partial_year
2022,RP,Not available,ENRE,Producer Beliefs and Conservation: The Impact of Perceived Water Scarcity on Irrigation Technology Adoption,National Bureau of Economic Research,FALSE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2023,JA,Not available,Ag and Food,A Spatial Dependent Approach to Assessing Impacts of Sustainable Forestry Initiative Certification,Forest Policy and Economics,TRUE,University of Copenhagen; University of Georgia,NA,See publication-level student classification,FALSE
2023,JA,Not available,Ag and Food,A ranching economic analysis of ventenata control in northeast Wyoming,Invasive Plant Science and Management,TRUE,Institute for Environmental Management; Sheridan College; University of Wyoming,NA,See publication-level student classification,FALSE
2023,JA,Not available,ENRE,Assessment of vulnerability to water shortage in semi-arid river basins,Science of the Total Environment,TRUE,National Water Research Center,NA,See publication-level student classification,FALSE
2023,JA,Not available,Ag and Food; ENRE,Beer sales in grocery and convenience stores: a glass half-full for craft brewers,Regional Studies,TRUE,University of Florida,NA,See publication-level student classification,FALSE
2023,JA,Not available,Ag and Food,Comparative Profitability of Irrigated Cropping Activities for Temporary Water Transfers,Journal of Agricultural and Resource Economics,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2023,JA,Not available,Ag and Food,Coping with COVID-19 Shocks in Rural Nepal,Applied Economic Perspectives and Policy,TRUE,University of Georgia; University of Illinois Urbana-Champaign,NA,See publication-level student classification,FALSE
2023,JA,Not available,Ag and Food,Developing a Crop Water Production Function for Alfalfa Under Deficit Irrigation,Agriculture,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2023,JA,Not available,Ag and Food,Estimating US Farmers Speed of Climate Change Adaptation: Subsurface Tile Drainage,Agricultural Finance Review,TRUE,National Cattlemen's Beef Association; Resource (United States),NA,See publication-level student classification,FALSE
2023,JA,Not available,ENRE,Further evidence on social comparison and residential water use,Water Resources and Economics,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2023,JA,Not available,Ag Ed,Impacts of the COVID-19 Pandemic on Student Performance and Perceptions of Learning,NACTA Journal,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2023,JA,Not available,Ag and Food,Potential economic impacts of foot-and-mouth disease in Brazil,Journal of the Agricultural and Applied Economics Association,TRUE,Resource (United States); Universidade de São Paulo,NA,See publication-level student classification,FALSE
2023,JA,Not available,Ag and Food,Price Transmission and Asymmetry in the Colorado Potato Supply Chain,Journal of Food Distribution Research,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2023,JA,Not available,Ag and Food,Producers Marketing a Novel Crop: A Field-Level View of Hemp Market Channels,Renewable Agriculture and Food Systems,TRUE,Cornell University; University of Kentucky,NA,See publication-level student classification,FALSE
2023,JA,Not available,ENRE,The Economics of Wildland Firefighting Aviation Procurement and Effectiveness,Western Economics Forum,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2023,JA,Not available,Ag and Food,The Influence of Food Assistance Program Participation on Home Food Environment,Current Developments in Nutrition,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2024,BC,Not available,ENRE,Perceived Water Scarcity and Irrigation Technology Adoption (chapter),University of Chicago Press,FALSE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food,An analysis of preslaughter management factors on welfare and meat quality outcomes,Translational Animal Science,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food; ENRE,Beef Cattle Producer Perspectives on Virtual Fencing,Rangeland Ecology & Management,TRUE,South Dakota State University,NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food,Benchmarking Current Pre-Slaughter Management Factors Welfare Indicators and Meat Quality,Translational Animal Science,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food,Challenges to Groundnut Value Chain Development: Lessons from an Attempted Experiment in Ghana,Journal of Development Effectiveness,TRUE,Carleton University; International Food Policy Research Institute; Tennessee State University; University for Development Studies; University of Georgia; University of Jyväskylä,NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food,Consumer Spending on Plant-Based Meat Alternatives,Choices,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food,Consumer willingness to pay for beef based on color and price discounts,Meat Science,TRUE,Johann Heinrich von Thünen-Institut; Resource (United States); University of Kassel,NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food,Economic effects of livestock disease burden in Ethiopia: a CGE analysis,PLOS ONE,TRUE,Kansas State University; Resource (United States); University of Liverpool; Washington State University,NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food,Economy-Wide Effects of Bovine Spongiform Encephalopathy in Brazil,Journal of Agricultural and Resource Economics,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food,Feasibility of Integrating Cover Crops into Irrigated Barley,Journal of the American Society of Farm Managers and Rural Appraisers,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food,Global Economic Effects of War-Induced Agricultural Export Declines from Ukraine,Applied Economic Perspectives and Policy,TRUE,Kyiv School of Economics; Resource (United States),NA,See publication-level student classification,FALSE
2024,JA,Not available,ENRE,Integrated water management under different water rights institutions,Water Resources Research,TRUE,National Water Research Center; University of Idaho,NA,See publication-level student classification,FALSE
2024,JA,Not available,ENRE,Measuring changes in pork demand and welfare effects of African swine fever,Food Policy,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food,Pre-Slaughter Factors Affecting Mobility Blood Parameters Bruising and Muscle pH,Translational Animal Science,TRUE,Resource (United States),NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food,Total Ranch Analysis Colorado (TRAC): A Ranch Benchmarking Program,Journal of the American Society of Farm Managers and Rural Appraisers,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food,U.S. Meat Export Potential in ASEAN,Choices,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2024,JA,Not available,Ag and Food,U.S. Soy Exports Could Crush it in ASEAN,Choices,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2024,RP,Not available,Ag and Food; ENRE,Unemployment and Food Insecurity Amongst Immigrants in the United States,Regional Economic Development Institute,FALSE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2025,JA,Not available,Ag and Food,Alfalfa Harvest Timing Impacts on Alfalfa Weevil with Agronomic and Economic Contexts,Crop Production,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2025,JA,Not available,Ag and Food; ENRE,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,Applied Economic Perspectives and Policy,TRUE,Resource (United States); University of Florida,NA,See publication-level student classification,FALSE
2025,JA,Not available,ENRE,Characterizing community water systems exposed to wildfire in the Western US,Science of the Total Environment,TRUE,Agricultural & Applied Economics Association; Environmental Protection Agency; National Center for Environmental Assessment (EPA); Northern Arizona University; Oak Ridge Associated Universities; Oak Ridge Institute for Science and Education; Pacific Northwest Research Station,NA,See publication-level student classification,FALSE
2025,JA,Not available,Ag Ed,Developing critical thinking and professional skills in animal science students,Translational Animal Science,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2025,JA,Not available,Ag and Food; ENRE,Exploring the Potential for Innovative Water Management Strategies to Support Irrigated Farmland Transitions,Western Economics Forum,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2025,JA,Not available,Ag and Food,Exploring the Relationship between Growth in Online Shopping and Multichannel Food Consumers,Applied Economic Perspectives and Policy,TRUE,Resource (United States),NA,See publication-level student classification,FALSE
2025,JA,Not available,Ag and Food,Going the Distance: Hybrid Vocational Training for Women in Nepal,Journal of Development Economics,TRUE,Bank of America; Heifer International; University of Florida; University of Illinois System,NA,See publication-level student classification,FALSE
2025,JA,Not available,ENRE,Inland flooding in the United States: a review,Environmental Research Letters,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2025,JA,Not available,Ag and Food,Labor Changes in the US Beef Industry Magnify Challenges with Succession,Western Economics Forum,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,FALSE
2025,JA,Not available,Ag and Food,Potential economy-wide impacts of an African swine fever outbreak in the United States,Frontiers in Veterinary Science,TRUE,Agricultural & Applied Economics Association; Kansas State University; Resource (United States); Roslin Institute; Texas A&M University,NA,See publication-level student classification,FALSE
2025,JA,Not available,Ag and Food,Relationship between Knowledge and Compliance with Safety Measures: COVID-19,Applied Economic Perspectives and Policy,TRUE,Arizona State University; Middle East Studies Association of North America,NA,See publication-level student classification,FALSE
2025,JA,Not available,Ag and Food,Tariff Troubles: Repercussions of Protectionist Policies on U.S. Agriculture,The World Economy,TRUE,Johann Heinrich von Thünen-Institut; Resource (United States),NA,See publication-level student classification,FALSE
2025,JA,Not available,ENRE,The unaccounted costs of slash pile burning,Trees Forests and People,TRUE,Rocky Mountain Research Station,NA,See publication-level student classification,FALSE
2025,JA,Not available,Ag and Food,U.S. Employment Exposure to Domestic and Foreign Tariff Changes under NAFTA,Applied Economic Perspectives and Policy,TRUE,Montana State University; Resource (United States); University of Tennessee at Knoxville,NA,See publication-level student classification,FALSE
2025,JA,Not available,Ag and Food,US Beef Cattle Inventory Trends with Implications for Land Use and Rangelands,Rangeland Ecology & Management,TRUE,The Land Institute; University of Idaho; University of Wyoming,NA,See publication-level student classification,FALSE
2025,JA,Not available,Ag and Food,Who is Asking and How? Effects of Survey Mode and Enumerator Gender,World Development,TRUE,Agricultural & Applied Economics Association; Grinnell College; University of Georgia,NA,See publication-level student classification,FALSE
2026,JA,Not available,Ag and Food; ENRE,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,TRUE,Resource (United States),NA,See publication-level student classification,TRUE
2026,JA,Not available,Ag and Food,Fungal ecology and postharvest factors driving aflatoxin contamination in Ghanaian groundnuts,Food Control,TRUE,None identified or OpenAlex affiliation unavailable,NA,See publication-level student classification,TRUE
2026,JA,Not available,Ag and Food,"Livestock Tango: US and Latin America Dance Together, but Who Will Lead?",Applied Economic Perspectives and Policy,TRUE,Kansas State University; Resource (United States),NA,See publication-level student classification,TRUE
2026,JA,Not available,Ag and Food,Quantitative Comparison of Ad-Valorem Equivalents for Non-Tariff Trade Measures: WTO Versus TRAINS,Applied Economic Perspectives and Policy,TRUE,Montana State University; Resource (United States); University of Tennessee at Knoxville,NA,See publication-level student classification,TRUE
