last,first,area,year,type,index_class,student_coauthor,dare_coauthors,dare_coauthors_names,title_short,venue,doi,source_file
Bayham,Jude,ENRE,2024,JA,a,U,1,Bayham;Burkhardt;Hill,Air pollution weather and agricultural worker productivity,American Journal of Agricultural Economics,10.1111/ajae.12439,burkhardtjesse.txt
Burkhardt,Jesse,ENRE,2024,JA,a,N,1,Bayham;Burkhardt;Hill,Air pollution weather and agricultural worker productivity,American Journal of Agricultural Economics,10.1111/ajae.12439,burkhardtjesse.txt
DeLay,Nathan,Ag and Food,2025,JA,a,N,0,,Mapping Agents: A Spatial Economic Analysis of Agent Location in Federal Crop Insurance,American Journal of Agricultural Economics,10.1111/ajae.12503,delaynathan.txt
Goemans,Chris,ENRE,2025,JA,a,N,1,Goemans;Manning;Suter,Abatement subsidies for groundwater conservation,American Journal of Agricultural Economics,10.1111/ajae.70021,goemanschris.txt
Suter,Jordan,ENRE,2025,JA,a,U,1,Goemans;Manning;Suter,Abatement subsidies for groundwater conservation,American Journal of Agricultural Economics,10.1111/ajae.70021,goemanschris.txt
Hill,Alexandra,Ag and Food,2021,JA,a,N,0,,Agricultural Labor Supply,Annual Review of Resource Economics,10.1146/annurev-resource-101620-080426,hillalexandra.txt
Lewis,Lynne,ENRE,2024,JA,a,N,0,,The Nature of the Beast: Wildlife Valuation from the Iconic to the Ordinary,Annual Review of Resource Economics,10.1146/annurev-resource-101623-093149,lewislynne.txt
Bayham,Jude,ENRE,2022,JA,a,N,0,,The Economics of Wildfire in the United States,Annual Review of Resource Economics,10.1146/annurev-resource-111920-014804,bayhamjude.txt
Ritten,John,Ag and Food,2022,JA,a,Y,0,,Effects of Harvest Season on Carcass Characteristics of Lambs Harvested in the Intermountain West,Applied Animal Science,10.15232/aas.2022-02322,rittenjohn.txt
Thilmany,Dawn,Ag and Food,2021,JA,a,N,0,,Local Foods go Downstream: Exploring the Spatial Factors Driving US Food Manufacturing,Applied Economic Perspectives and Policy,10.1002/aepp.13046,thilmanydawn.txt
Thilmany,Dawn,Ag and Food,2021,JA,a,N,0,,Do Cottage Food Laws Reduce Barriers to Entry for Food Manufacturers,Applied Economic Perspectives and Policy,10.1002/aepp.13047,thilmanydawn.txt
Jablonski,Becca,Ag and Food,2021,JA,a,U,1,Jablonksi;Thilmany,Local Food Markets and Labor Intensity,Applied Economic Perspectives and Policy,10.1002/aepp.13059,thilmanydawn.txt
Thilmany,Dawn,Ag and Food,2021,JA,a,N,1,Jablonksi;Thilmany,Local Food Markets and Labor Intensity,Applied Economic Perspectives and Policy,10.1002/aepp.13059,thilmanydawn.txt
Cleary,Rebecca,Ag and Food,2021,JA,a,N,1,Cleary;Jablonski,Emergency Food Provision for Children and Families during the Covid-19 Pandemic,Applied Economic Perspectives and Policy,10.1002/aepp.13096,clearyrebecca.txt
Jablonski,Becca,Ag and Food,2021,JA,a,U,1,Cleary;Jablonski,Emergency Food Provision for Children and Families during the Covid-19 Pandemic,Applied Economic Perspectives and Policy,10.1002/aepp.13096,clearyrebecca.txt
Bonanno,Alessandro,Ag and Food,2021,JA,a,N,1,Bonanno;Chenarides,If You Build It Will it Matter? Food Stores Presence and Perceived Barriers,Applied Economic Perspectives and Policy,10.1002/aepp.13098,bonannoalessandrocv.txt
Bonanno,Alessandro,Ag and Food,2021,JA,a,Y,1,Bonanno;Cleary,School Meals and Quality of Household Food Acquisitions,Applied Economic Perspectives and Policy,10.1002/aepp.13130,bonannoalessandrocv.txt
Cleary,Rebecca,Ag and Food,2021,JA,a,Y,1,Bonanno;Cleary,School Meals and Quality of Household Food Acquisitions,Applied Economic Perspectives and Policy,10.1002/aepp.13130,clearyrebecca.txt
DeLay,Nathan,Ag and Food,2022,JA,a,N,0,,The Impact of Crop Insurance on Farm Financial Outcomes,Applied Economic Perspectives and Policy,10.1002/aepp.13223,delaynathan.txt
Jablonski,Becca,Ag and Food,2022,JA,a,U,1,Jablonksi;Thilmany,Opportunities to support beginning farmers and ranchers in the 2023 Farm Bill,Applied Economic Perspectives and Policy,10.1002/aepp.13256,thilmanydawn.txt
Thilmany,Dawn,Ag and Food,2022,JA,a,N,1,Jablonksi;Thilmany,Opportunities to support beginning farmers and ranchers in the 2023 Farm Bill,Applied Economic Perspectives and Policy,10.1002/aepp.13256,thilmanydawn.txt
Berning,Joshua,Ag and Food,2023,JA,a,U,1,Berning;Bonanno;Cleary,Food Insecurity and Time Use in Elderly vs Non-Elderly,Applied Economic Perspectives and Policy,10.1002/aepp.13275,bonannoalessandrocv.txt
Bonanno,Alessandro,Ag and Food,2023,JA,a,N,1,Berning;Bonanno;Cleary,Food Insecurity and Time Use in Elderly vs Non-Elderly,Applied Economic Perspectives and Policy,10.1002/aepp.13275,bonannoalessandrocv.txt
Cleary,Rebecca,Ag and Food,2023,JA,a,U,1,Berning;Bonanno;Cleary,Food Insecurity and Time Use in Elderly vs Non-Elderly,Applied Economic Perspectives and Policy,10.1002/aepp.13275,bonannoalessandrocv.txt
Koontz,Stephen,Ag and Food,2022,JA,a,N,0,,Potential Beef Cattle Topics in the 2023 Farm Bill,Applied Economic Perspectives and Policy,10.1002/aepp.13302,koontzstephen.txt
Berning,Joshua,Ag and Food,2024,JA,a,U,1,Berning;Bonanno;Cleary,Disparities in Food Insecurity among Black and White Households,Applied Economic Perspectives and Policy,10.1002/aepp.13332,bonannoalessandrocv.txt
Bonanno,Alessandro,Ag and Food,2024,JA,a,N,1,Berning;Bonanno;Cleary,Disparities in Food Insecurity among Black and White Households,Applied Economic Perspectives and Policy,10.1002/aepp.13332,bonannoalessandrocv.txt
Cleary,Rebecca,Ag and Food,2024,JA,a,U,1,Berning;Bonanno;Cleary,Disparities in Food Insecurity among Black and White Households,Applied Economic Perspectives and Policy,10.1002/aepp.13332,bonannoalessandrocv.txt
DeLay,Nathan,Ag and Food,2023,JA,a,N,0,,The Economics of Property Rights in Digital Farming Data,Applied Economic Perspectives and Policy,10.1002/aepp.13340,delaynathan.txt
Magnan,Nicholas,Ag and Food,2023,JA,a,Y,0,,Coping with COVID-19 Shocks in Rural Nepal,Applied Economic Perspectives and Policy,10.1002/aepp.13383,magnannicholas.txt
Thilmany,Dawn,Ag and Food,2024,JA,a,N,0,,Measuring the Economic Contribution of Agricultural and Applied Economics Departments,Applied Economic Perspectives and Policy,10.1002/aepp.13454,thilmanydawn.txt
Countryman,Amanda,Ag and Food,2024,JA,a,Y,0,,Global Economic Effects of War-Induced Agricultural Export Declines from Ukraine,Applied Economic Perspectives and Policy,10.1002/aepp.13468,countrymanamanda.txt
Countryman,Amanda,Ag and Food,2025,JA,a,Y,0,,U.S. Employment Exposure to Domestic and Foreign Tariff Changes under NAFTA,Applied Economic Perspectives and Policy,10.1002/aepp.13503,countrymanamanda.txt
Thilmany,Dawn,Ag and Food,2025,JA,a,Y,0,,Exploring the Relationship between Growth in Online Shopping and Multichannel Food Consumers,Applied Economic Perspectives and Policy,10.1002/aepp.13531,thilmanydawn.txt
Chenarides,Lauren,Ag and Food,2025,JA,a,Y,0,,Relationship between Knowledge and Compliance with Safety Measures: COVID-19,Applied Economic Perspectives and Policy,10.1002/aepp.70031,chenarideslauren.txt
Bayham,Jude,ENRE,2025,JA,a,Y,1,Bayham;Berning;Costanigro,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,Applied Economic Perspectives and Policy,10.1002/aepp.70037,costanigromarco.txt
Berning,Joshua,Ag and Food,2025,JA,a,Y,1,Bayham;Berning;Costanigro,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,Applied Economic Perspectives and Policy,10.1002/aepp.70037,costanigromarco.txt
Costanigro,Marco,Ag and Food,2025,JA,a,Y,1,Bayham;Berning;Costanigro,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,Applied Economic Perspectives and Policy,10.1002/aepp.70037,costanigromarco.txt
Countryman,Amanda,Ag and Food,2026,JA,a,Y,0,,Quantitative Comparison of Ad-Valorem Equivalents for Non-Tariff Trade Measures: WTO Versus TRAINS,Applied Economic Perspectives and Policy,10.1002/aepp.70039,Google Scholar
Countryman,Amanda,Ag and Food,2026,JA,a,Y,0,,"Livestock Tango: US and Latin America Dance Together, but Who Will Lead?",Applied Economic Perspectives and Policy,10.1002/aepp.70047,Google Scholar
Bonanno,Alessandro,Ag and Food,2021,JA,a,N,0,,Competitive and Welfare Effects of Private Label Presence in Differentiated Food Markets,Applied Economics,10.1080/00036846.2020.1866160,bonannoalessandrocv.txt
Thilmany,Dawn,Ag and Food,2023,JA,b,N,0,,Perspectives on Diversity Equity and Inclusion in the Agricultural and Applied Economics Profession,Applied Economics Teaching Resources,10.22004/ag.econ.333520,thilmanydawn.txt
Thilmany,Dawn,Ag and Food,2022,JA,b,N,0,,Agritourism Extension in the United States,Applied Economics Teaching Resources,nodoi,thilmanydawn.txt
Jablonski,Becca,Ag and Food,2021,JA,a,U,1,Jablonski;Thilmany,Novel methods for an interesting time: US local food systems impacts and initiatives to respond to COVID,Australian Journal of Agricultural and Resource Economics,10.1111/1467-8489.12456,thilmanydawn.txt
Thilmany,Dawn,Ag and Food,2021,JA,a,Y,1,Jablonski;Thilmany,Novel methods for an interesting time: US local food systems impacts and initiatives to respond to COVID,Australian Journal of Agricultural and Resource Economics,10.1111/1467-8489.12456,thilmanydawn.txt
Hoag,Dana,ENRE,2025,JA,a,N,1,Hoag;Ritten,Transdisciplinary research priorities for a One Health approach to human-wildlife coexistence,BioScience,10.1093/biosci/biaf026,hoagdana.txt
Ritten,John,Ag and Food,2025,JA,a,N,1,Hoag;Ritten,Transdisciplinary research priorities for a One Health approach to human-wildlife coexistence,BioScience,10.1093/biosci/biaf026,rittenjohn.txt
Bonanno,Alessandro,Ag and Food,2023,JA,a,N,0,,Geographical Indications Prices and Marketing Margins,British Food Journal,10.1108/bfj-09-2021-1000,bonannoalessandrocv.txt
Suter,Jordan,ENRE,2021,JA,a,U,0,,Sociodemographic variations in indoor environmental quality and student performance,Building and Environment,10.1016/j.buildenv.2021.108390,suterjordan.txt
DeLay,Nathan,Ag and Food,2026,JA,a,,0,,Merging rigor and relevance in grazingland research: a comprehensive social-ecological monitoring approach,Carbon Balance and Management,10.1186/s13021-026-00431-7,Google Scholar
DeLay,Nathan,Ag and Food,2022,JA,b,Y,0,,Opportunities and Challenges Associated with Carbon Farming for US Row-Crop Producers,Choices,10.22004/ag.econ.329528,delaynathan.txt
Countryman,Amanda,Ag and Food,2024,JA,b,Y,0,,U.S. Meat Export Potential in ASEAN,Choices,10.22004/ag.econ.344756,countrymanamanda.txt
Countryman,Amanda,Ag and Food,2024,JA,b,Y,0,,U.S. Soy Exports Could Crush it in ASEAN,Choices,10.22004/ag.econ.344758,countrymanamanda.txt
Mooney,Daniel,Ag and Food,2024,JA,b,N,0,,Agricultural Producer Decision Making around Water Conservation in the Upper Colorado River Basin,Choices,10.22004/ag.econ.348009,mooneydaniel.txt
Chenarides,Lauren,Ag and Food,2024,JA,b,N,0,,Grand Challenge: Safe Affordable Accessible and Acceptable Food,Choices,10.22004/ag.econ.348931,chenarideslauren.txt
Chenarides,Lauren,Ag and Food,2024,JA,b,Y,0,,Consumer Spending on Plant-Based Meat Alternatives,Choices,10.22004/ag.econ.352133,chenarideslauren.txt
Chenarides,Lauren,Ag and Food,2024,JA,b,N,0,,An Outlook on Evidence-Based Policymaking,Choices,nodoi,chenarideslauren.txt
Kroll,Stephan,ENRE,2021,JA,a,N,0,,Does Solar Geoengineering Crowd Out Climate Change Mitigation Efforts,Climatic Change,10.1007/s10584-021-03009-z,krollstephan.txt
Goemans,Chris,ENRE,2021,JA,a,N,1,Goemans;Manning;Suter,Changing climate changing minds? Effects of natural disasters on public perceptions,Climatic Change,10.1007/s10584-022-03441-9,goemanschris.txt
Manning,Dale,ENRE,2021,JA,a,N,1,Goemans;Manning;Suter,Changing climate changing minds? Effects of natural disasters on public perceptions,Climatic Change,10.1007/s10584-022-03441-9,manningdale.txt
Suter,Jordan,ENRE,2021,JA,a,U,1,Goemans;Manning;Suter,Changing climate changing minds? Effects of natural disasters on public perceptions,Climatic Change,10.1007/s10584-022-03441-9,suterjordan.txt
Kroll,Stephan,ENRE,2023,JA,a,N,0,,Climate Cooperation with Risky Solar Geoengineering,Climatic Change,10.1007/s10584-023-03612-2,krollstephan.txt
Hoag,Dana,ENRE,2026,JA,a,N,0,,Toward Coexistence: A Psychometric Framework for Large Carnivore Conservation.,Conservation Biology,10.1111/cobi.70326,Google Scholar
Seidl,Andrew,ENRE,2023,JA,a,N,0,,Essential planetary health workers: Positioning rangers within global policy,Conservation Letters,10.1111/conl.12955,seidlandrew.txt
Hoag,Dana,ENRE,2022,JA,a,N,0,,Rapid changes in public perception toward wolves,Conservation Science,10.1111/csp2.12632,hoagdana.txt
Seidl,Andrew,ENRE,2024,JA,a,N,0,,Cost-benefit analysis as a decision tool for conservation planning: Nyerere-Selous-Udzungwa Corridor,Conservation Science and Practice,10.1111/csp2.13273,seidlandrew.txt
Burkhardt,Jesse,ENRE,2022,JA,a,N,1,Burkhardt;Manning,The Local Effects of Federal Law Enforcement Policies: Sanctuary Jurisdictions and Crime,Contemporary Economic Policy,10.1111/coep.12564,burkhardtjesse.txt
Manning,Dale,ENRE,2022,JA,a,N,1,Burkhardt;Manning,The Local Effects of Federal Law Enforcement Policies: Sanctuary Jurisdictions and Crime,Contemporary Economic Policy,10.1111/coep.12564,manningdale.txt
Ritten,John,Ag and Food,2025,JA,a,Y,0,,Alfalfa Harvest Timing Impacts on Alfalfa Weevil with Agronomic and Economic Contexts,Crop Production,10.1016/j.cropro.2025.107134,rittenjohn.txt
Bonanno,Alessandro,Ag and Food,2023,JA,a,U,1,Bonanno;Cleary;Jablonski,The Influence of Food Assistance Program Participation on Home Food Environment,Current Developments in Nutrition,10.1016/j.cdnut.2023.100292,clearyrebecca.txt
Cleary,Rebecca,Ag and Food,2023,JA,a,Y,1,Bonanno;Cleary;Jablonski,The Influence of Food Assistance Program Participation on Home Food Environment,Current Developments in Nutrition,10.1016/j.cdnut.2023.100292,clearyrebecca.txt
Jablonski,Becca,Ag and Food,2023,JA,a,U,1,Bonanno;Cleary;Jablonski,The Influence of Food Assistance Program Participation on Home Food Environment,Current Developments in Nutrition,10.1016/j.cdnut.2023.100292,clearyrebecca.txt
Jablonski,Becca,Ag and Food,2024,JA,a,U,1,Jablonski;Thilmany,Building Representative State Groupings in an Input-Output Model for Nutrition Incentive Programs,Economic Development Quarterly,10.1177/08912424241282425,thilmanydawn.txt
Thilmany,Dawn,Ag and Food,2024,JA,a,N,1,Jablonski;Thilmany,Building Representative State Groupings in an Input-Output Model for Nutrition Incentive Programs,Economic Development Quarterly,10.1177/08912424241282425,thilmanydawn.txt
Mooney,Daniel,Ag and Food,2025,JA,a,N,0,,Synergies and trade-offs between ecosystem services and economics in dryland cover crop systems,Ecosphere,10.1002/ecs2.70397,mooneydaniel.txt
Seidl,Andrew,ENRE,2021,JA,a,N,0,,Finance for Nature: Bridging the blue-green investment gap,Ecosystem Services,10.1016/j.ecoser.2021.101351,seidlandrew.txt
Seidl,Andrew,ENRE,2024,JA,a,N,0,,Investing in the wealth of nature through biodiversity and ecosystem services finance solutions,Ecosystem Services,10.1016/j.ecoser.2024.101601,seidlandrew.txt
Bayham,Jude,ENRE,2021,JA,a,N,0,,Estimating the Impact of Statewide Policies to Reduce Spread of SARS-CoV-2,Emerging Infectious Diseases,10.3201/eid2709.204167,bayhamjude.txt
Cleary,Rebecca,Ag and Food,2022,JA,a,N,0,,Strategic Supermarket Pricing of Private Labels and Manufacturer Brands,Empirical Economics,10.1007/s00181-021-02123-2,clearyrebecca.txt
Woerman,Matt,ENRE,2025,JA,a,N,0,,Intermittency and uncertainty in wind and solar energy: Impacts on the French electricity market,Energy Economics,10.1016/j.eneco.2024.108176,woermanmatt.txt
Woerman,Matt,ENRE,2025,JA,a,N,0,,Residential demand for energy in light of changing solar prices,Energy Economics,10.1016/j.eneco.2025.108351,woermanmatt.txt
Suter,Jordan,ENRE,2022,JA,a,U,0,,Lottery Incentives and Resource Management: Evidence from AgDRIP,Environmental and Resource Economics,10.1007/s10640-022-00690-1,suterjordan.txt
Kroll,Stephan,ENRE,2024,JA,a,N,0,,Solar Geoengineering Free-Driving and Conflict: An Experimental Investigation,Environmental and Resource Economics,10.1007/s10640-024-00854-1,krollstephan.txt
Kroll,Stephan,ENRE,2026,JA,a,,0,,Climate Intervention and Mitigation: Strategic Responses to Technological Advances in Solar Geoengineering,Environmental and Resource Economics,10.1007/s10640-026-01072-7,Google Scholar
Kroll,Stephan,ENRE,2023,JA,a,N,0,,Climate Cooperation in the Shadow of Solar Geoengineering: Moral Hazard Conjecture,Environmental Politics,10.1080/09644016.2022.2066285,krollstephan.txt
Ritten,John,Ag and Food,2024,JA,a,N,0,,Net Zero Initiative in US Beef and Dairy Systems,Environmental Research Communications,10.1088/2515-7620/ad82b5,rittenjohn.txt
Bayham,Jude,ENRE,2025,JA,a,U,1,Bayham;Goemans;Manning;Suter,Inland flooding in the United States: a review,Environmental Research Letters,10.1088/1748-9326/add35e,suterjordan.txt
Goemans,Chris,ENRE,2025,JA,a,Y,1,Bayham;Goemans;Manning;Suter,Inland flooding in the United States: a review,Environmental Research Letters,10.1088/1748-9326/add35e,goemanschris.txt
Suter,Jordan,ENRE,2025,JA,a,Y,1,Bayham;Goemans;Manning;Suter,Inland flooding in the United States: a review,Environmental Research Letters,10.1088/1748-9326/add35e,suterjordan.txt
Bayham,Jude,ENRE,2022,JA,a,N,1,Bayham;Burkhardt,Outside in: indoor and outdoor particulate air quality during wildfire smoke events,Environmental Research: Health,10.1088/2752-5309/ac7d69,bayhamjude.txt
Burkhardt,Jesse,ENRE,2022,JA,a,N,1,Bayham;Burkhardt,Outside in: indoor and outdoor particulate air quality during wildfire smoke events,Environmental Research: Health,10.1088/2752-5309/ac7d69,burkhardtjesse.txt
Goemans,Chris,ENRE,2021,JA,a,U,1,Goemans;Kroll,Learning to Accept Welfare-Enhancing Policies: Congestion Pricing,Experimental Economics,10.1007/s10683-020-09650-2,krollstephan.txt
Kroll,Stephan,ENRE,2021,JA,a,N,1,Goemans;Kroll,Learning to Accept Welfare-Enhancing Policies: Congestion Pricing,Experimental Economics,10.1007/s10683-020-09650-2,krollstephan.txt
Countryman,Amanda,Ag and Food,2025,JA,b,U,0,,Addressing retail meat waste: a focus group study on discolored beef,Food and Humanity,10.1016/j.foohum.2025.100639,countrymanamanda.txt
Magnan,Nicholas,Ag and Food,2026,JA,a,Y,0,,Fungal ecology and postharvest factors driving aflatoxin contamination in Ghanaian groundnuts,Food Control,10.1016/j.foodcont.2025.111582,magnannicholas.txt
