last,first,area,year,type,index_class,student_coauthor,dare_coauthors,dare_coauthors_names,title_short,venue,doi,source_file,openalex_work_id,openalex_type,type_mapping_rule,type_requires_review,extension_output,added_from_openalex,added_from_coauthor,author_match_rule,discovery_date,edge_2026,publication_key,affiliated_at_publication,affiliation_status
Goemans,Chris,ENRE,2024,BC,NA,Y,1,Goemans;Manning,Perceived Water Scarcity and Irrigation Technology Adoption (chapter),University of Chicago Press,10.7208/chicago/9780226830629-007,goemanschris.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.7208/chicago/9780226830629-007,1,Active CSU affiliation
Manning,Dale,ENRE,2024,BC,NA,U,1,Goemans;Manning,Perceived Water Scarcity and Irrigation Technology Adoption (chapter),University of Chicago Press,10.7208/chicago/9780226830629-007,goemanschris.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.7208/chicago/9780226830629-007,1,Active CSU affiliation
Delay,Nathan,Ag and Food,2025,CP,NA,NA,0,NA,Incorporating precision management technologies to reduce beef cattle enteric CH4 emissions on rangelands,Animal-Science proceedings,10.1016/j.anscip.2025.08.183,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1016/j.anscip.2025.08.183,1,Active CSU affiliation
Ritten,John,Ag and Food,2026,JA,a,NA,0,NA,From data to decisions: the potential of real-time precision technologies to enhance adaptive grazing management for livestock ranchers,African Journal of Range & Forage Science,10.2989/10220119.2025.2585814,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,1,doi:10.2989/10220119.2025.2585814,1,Active CSU affiliation
Costanigro,Marco,Ag and Food,2021,JA,a,Y,1,Costanigro;Jablonski,Promoting Farmers Markets via Information Nudges and Coupons,Agribusiness: An International Journal,10.1002/agr.21688,costanigromarco.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/agr.21688,1,Active CSU affiliation
Jablonski,Becca,Ag and Food,2021,JA,a,U,1,Costanigro;Jablonski,Promoting Farmers Markets via Information Nudges and Coupons,Agribusiness: An International Journal,10.1002/agr.21688,costanigromarco.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/agr.21688,1,Active CSU affiliation
Cleary,Rebecca,Ag and Food,2022,JA,a,U,0,NA,Food Retail Profits Competition and the Great Recession,Agribusiness: An International Journal,10.1002/agr.21743,chenarideslauren.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/agr.21743,1,Active CSU affiliation
Chenarides,Lauren,Ag and Food,2025,JA,a,N,0,NA,Grocery Stockouts and Seller Performance in Amazon's Marketplaces,Agribusiness: An International Journal,10.1002/agr.22051,chenarideslauren.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/agr.22051,1,Active CSU affiliation
Thilmany,Dawn,Ag and Food,2025,JA,a,N,0,NA,A Baseline Assessment of School Food Spending and Local Procurement,Agricultural and Resource Economics Review,10.1017/age.2025.11,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1017/age.2025.11,1,Active CSU affiliation
Delay,Nathan,Ag and Food,2023,JA,a,Y,0,NA,Estimating US Farmers Speed of Climate Change Adaptation: Subsurface Tile Drainage,Agricultural Finance Review,10.1108/AFR-02-2023-0027,delaynathan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1108/afr-02-2023-0027,1,Active CSU affiliation
Jablonski,Becca,Ag and Food,2022,JA,a,U,1,Jablonski;Thilmany,The profitability implications of sales through local food markets for beginning farmers,Agricultural Finance Review,10.1108/AFR-05-2021-0056,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1108/afr-05-2021-0056,1,Active CSU affiliation
Thilmany,Dawn,Ag and Food,2022,JA,a,N,1,Jablonski;Thilmany,The profitability implications of sales through local food markets for beginning farmers,Agricultural Finance Review,10.1108/AFR-05-2021-0056,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1108/afr-05-2021-0056,1,Active CSU affiliation
Jablonski,Becca,Ag and Food,2022,JA,a,U,1,Jablonski;Thilmany,Unique Financing Strategies Among Beginning Farmers and Ranchers,Agricultural Finance Review,10.1108/AFR-05-2021-0070,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1108/afr-05-2021-0070,1,Active CSU affiliation
Thilmany,Dawn,Ag and Food,2022,JA,a,N,1,Jablonski;Thilmany,Unique Financing Strategies Among Beginning Farmers and Ranchers,Agricultural Finance Review,10.1108/AFR-05-2021-0070,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1108/afr-05-2021-0070,1,Active CSU affiliation
Bonanno,Alessandro,Ag and Food,2023,JA,a,N,1,Bonanno;Jablonski,Beginning farmer status and financial performance differentials,Agricultural Finance Review,10.1108/AFR-05-2023-0054,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1108/afr-05-2023-0054,1,Active CSU affiliation
Jablonski,Becca,Ag and Food,2023,JA,a,U,1,Bonanno;Jablonski,Beginning farmer status and financial performance differentials,Agricultural Finance Review,10.1108/AFR-05-2023-0054,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1108/afr-05-2023-0054,1,Active CSU affiliation
Goemans,Chris,ENRE,2022,JA,a,N,1,Goemans;Manning,Remote sensing of field-scale irrigation withdrawals in the central Ogallala aquifer,Agricultural Water Management,10.1016/j.agwat.2022.107764,goemanschris.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1016/j.agwat.2022.107764,1,Active CSU affiliation
Manning,Dale,ENRE,2022,JA,a,U,1,Goemans;Manning,Remote sensing of field-scale irrigation withdrawals in the central Ogallala aquifer,Agricultural Water Management,10.1016/j.agwat.2022.107764,goemanschris.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1016/j.agwat.2022.107764,1,Active CSU affiliation
Mooney,Daniel,Ag and Food,2023,JA,a,Y,0,NA,Developing a Crop Water Production Function for Alfalfa Under Deficit Irrigation,Agriculture,10.3390/agriculture13040831,mooneydaniel.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.3390/agriculture13040831,1,Active CSU affiliation
Bayham,Jude,ENRE,2026,JA,a,Y,1,Bayham;Berning;Bonanno,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,1,doi:10.1002/ajae.70071,1,Active CSU affiliation
Berning,Joshua,Ag and Food,2026,JA,a,N,1,Bayham;Berning;Bonanno,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,1,doi:10.1002/ajae.70071,1,Active CSU affiliation
Bonanno,Alessandro,Ag and Food,2026,JA,a,N,1,Bayham;Berning;Bonanno,Food Insecurity and Unemployment among Immigrants in the United States,American Journal of Agricultural Economics,10.1002/ajae.70071,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,1,doi:10.1002/ajae.70071,1,Active CSU affiliation
Graff,Gregory,Ag and Food,2026,JA,a,N,0,NA,The role of venture-financed startups in innovation for US agriculture,American Journal of Agricultural Economics,10.1002/ajae.70083,graffgregory.txt,NA,NA,NA,0,0,0,0,NA,NA,1,doi:10.1002/ajae.70083,1,Active CSU affiliation
Magnan,Nicholas,Ag and Food,2021,JA,a,Y,0,NA,Can Experiential Games and Improved Risk Coverage Raise Demand for Index Insurance,American Journal of Agricultural Economics,10.1111/ajae.12124,magnannicholas.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.12124,0,Outside active CSU affiliation
Burkhardt,Jesse,ENRE,2021,JA,a,U,1,Burkhardt;Hill,Peers in the Field: Ability and Gender in Peer Effects among Agricultural Workers,American Journal of Agricultural Economics,10.1111/ajae.12192,hillalexandra.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.12192,1,Active CSU affiliation
Hill,Alexandra,Ag and Food,2021,JA,a,N,1,Burkhardt;Hill,Peers in the Field: Ability and Gender in Peer Effects among Agricultural Workers,American Journal of Agricultural Economics,10.1111/ajae.12192,hillalexandra.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.12192,1,Active CSU affiliation
Countryman,Amanda,Ag and Food,2021,JA,a,N,0,NA,The Importance of Agriculture in the Economy: Impacts from COVID-19,American Journal of Agricultural Economics,10.1111/ajae.12212,countrymanamanda.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.12212,1,Active CSU affiliation
Burkhardt,Jesse,ENRE,2022,JA,a,N,0,NA,Conformity and Conservation: Home Landscaping and Water Conservation,American Journal of Agricultural Economics,10.1111/ajae.12224,burkhardtjesse.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.12224,1,Active CSU affiliation
Goemans,Chris,ENRE,2022,JA,a,Y,1,Goemans;Manning;Suter,Impacts of Block-Rate Energy Pricing on Groundwater Demand in Irrigated Agriculture,American Journal of Agricultural Economics,10.1111/ajae.12231,goemanschris.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.12231,1,Active CSU affiliation
Manning,Dale,ENRE,2022,JA,a,Y,1,Goemans;Manning;Suter,Impacts of Block-Rate Energy Pricing on Groundwater Demand in Irrigated Agriculture,American Journal of Agricultural Economics,10.1111/ajae.12231,manningdale.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.12231,1,Active CSU affiliation
Suter,Jordan,ENRE,2022,JA,a,N,1,Goemans;Manning;Suter,Impacts of Block-Rate Energy Pricing on Groundwater Demand in Irrigated Agriculture,American Journal of Agricultural Economics,10.1111/ajae.12231,suterjordan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.12231,1,Active CSU affiliation
Chenarides,Lauren,Ag and Food,2023,JA,a,N,0,NA,Dynamic Model of Entry: Dollar Stores,American Journal of Agricultural Economics,10.1111/ajae.12404,chenarideslauren.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.12404,1,Active CSU affiliation
Suter,Jordan,ENRE,2024,JA,a,N,0,NA,Social Comparisons and Groundwater Use: Evidence from Colorado and Kansas,American Journal of Agricultural Economics,10.1111/ajae.12415,suterjordan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.12415,1,Active CSU affiliation
Bayham,Jude,ENRE,2024,JA,a,U,1,Bayham;Burkhardt,Air pollution weather and agricultural worker productivity,American Journal of Agricultural Economics,10.1111/ajae.12439,burkhardtjesse.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.12439,1,Active CSU affiliation
Burkhardt,Jesse,ENRE,2024,JA,a,N,1,Bayham;Burkhardt,Air pollution weather and agricultural worker productivity,American Journal of Agricultural Economics,10.1111/ajae.12439,burkhardtjesse.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.12439,1,Active CSU affiliation
Delay,Nathan,Ag and Food,2025,JA,a,N,0,NA,Mapping Agents: A Spatial Economic Analysis of Agent Location in Federal Crop Insurance,American Journal of Agricultural Economics,10.1111/ajae.12503,delaynathan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.12503,1,Active CSU affiliation
Goemans,Chris,ENRE,2025,JA,a,N,1,Goemans;Suter,Abatement subsidies for groundwater conservation,American Journal of Agricultural Economics,10.1111/ajae.70021,goemanschris.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.70021,1,Active CSU affiliation
Suter,Jordan,ENRE,2025,JA,a,U,1,Goemans;Suter,Abatement subsidies for groundwater conservation,American Journal of Agricultural Economics,10.1111/ajae.70021,goemanschris.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1111/ajae.70021,1,Active CSU affiliation
Hill,Alexandra,Ag and Food,2021,JA,a,N,0,NA,Agricultural Labor Supply,Annual Review of Resource Economics,10.1146/annurev-resource-101620-080426,hillalexandra.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1146/annurev-resource-101620-080426,1,Active CSU affiliation
Lewis,Lynne,ENRE,2024,JA,a,N,0,NA,The Nature of the Beast: Wildlife Valuation from the Iconic to the Ordinary,Annual Review of Resource Economics,10.1146/annurev-resource-101623-093149,lewislynne.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1146/annurev-resource-101623-093149,1,Active CSU affiliation
Bayham,Jude,ENRE,2022,JA,a,N,0,NA,The Economics of Wildfire in the United States,Annual Review of Resource Economics,10.1146/annurev-resource-111920-014804,bayhamjude.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1146/annurev-resource-111920-014804,1,Active CSU affiliation
Ritten,John,Ag and Food,2022,JA,a,Y,0,NA,Effects of Harvest Season on Carcass Characteristics of Lambs Harvested in the Intermountain West,Applied Animal Science,10.15232/aas.2022-02322,rittenjohn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.15232/aas.2022-02322,1,Active CSU affiliation
Thilmany,Dawn,Ag and Food,2021,JA,a,N,0,NA,Local Foods go Downstream: Exploring the Spatial Factors Driving US Food Manufacturing,Applied Economic Perspectives and Policy,10.1002/aepp.13046,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13046,1,Active CSU affiliation
Thilmany,Dawn,Ag and Food,2021,JA,a,N,0,NA,Do Cottage Food Laws Reduce Barriers to Entry for Food Manufacturers,Applied Economic Perspectives and Policy,10.1002/aepp.13047,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13047,1,Active CSU affiliation
Jablonski,Becca,Ag and Food,2021,JA,a,U,1,Jablonski;Thilmany,Local Food Markets and Labor Intensity,Applied Economic Perspectives and Policy,10.1002/aepp.13059,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13059,1,Active CSU affiliation
Thilmany,Dawn,Ag and Food,2021,JA,a,N,1,Jablonski;Thilmany,Local Food Markets and Labor Intensity,Applied Economic Perspectives and Policy,10.1002/aepp.13059,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13059,1,Active CSU affiliation
Cleary,Rebecca,Ag and Food,2021,JA,a,N,1,Cleary;Jablonski,Emergency Food Provision for Children and Families during the Covid-19 Pandemic,Applied Economic Perspectives and Policy,10.1002/aepp.13096,clearyrebecca.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13096,1,Active CSU affiliation
Jablonski,Becca,Ag and Food,2021,JA,a,U,1,Cleary;Jablonski,Emergency Food Provision for Children and Families during the Covid-19 Pandemic,Applied Economic Perspectives and Policy,10.1002/aepp.13096,clearyrebecca.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13096,1,Active CSU affiliation
Bonanno,Alessandro,Ag and Food,2021,JA,a,N,0,NA,If You Build It Will it Matter? Food Stores Presence and Perceived Barriers,Applied Economic Perspectives and Policy,10.1002/aepp.13098,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13098,1,Active CSU affiliation
Bonanno,Alessandro,Ag and Food,2021,JA,a,Y,1,Bonanno;Cleary,School Meals and Quality of Household Food Acquisitions,Applied Economic Perspectives and Policy,10.1002/aepp.13130,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13130,1,Active CSU affiliation
Cleary,Rebecca,Ag and Food,2021,JA,a,Y,1,Bonanno;Cleary,School Meals and Quality of Household Food Acquisitions,Applied Economic Perspectives and Policy,10.1002/aepp.13130,clearyrebecca.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13130,1,Active CSU affiliation
Delay,Nathan,Ag and Food,2022,JA,a,N,0,NA,The Impact of Crop Insurance on Farm Financial Outcomes,Applied Economic Perspectives and Policy,10.1002/aepp.13223,delaynathan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13223,1,Active CSU affiliation
Jablonski,Becca,Ag and Food,2022,JA,a,U,1,Jablonski;Thilmany,Opportunities to support beginning farmers and ranchers in the 2023 Farm Bill,Applied Economic Perspectives and Policy,10.1002/aepp.13256,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13256,1,Active CSU affiliation
Thilmany,Dawn,Ag and Food,2022,JA,a,N,1,Jablonski;Thilmany,Opportunities to support beginning farmers and ranchers in the 2023 Farm Bill,Applied Economic Perspectives and Policy,10.1002/aepp.13256,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13256,1,Active CSU affiliation
Berning,Joshua,Ag and Food,2023,JA,a,U,1,Berning;Bonanno;Cleary,Food Insecurity and Time Use in Elderly vs Non-Elderly,Applied Economic Perspectives and Policy,10.1002/aepp.13275,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13275,1,Active CSU affiliation
Bonanno,Alessandro,Ag and Food,2023,JA,a,N,1,Berning;Bonanno;Cleary,Food Insecurity and Time Use in Elderly vs Non-Elderly,Applied Economic Perspectives and Policy,10.1002/aepp.13275,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13275,1,Active CSU affiliation
Cleary,Rebecca,Ag and Food,2023,JA,a,U,1,Berning;Bonanno;Cleary,Food Insecurity and Time Use in Elderly vs Non-Elderly,Applied Economic Perspectives and Policy,10.1002/aepp.13275,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13275,1,Active CSU affiliation
Koontz,Stephen,Ag and Food,2022,JA,a,N,0,NA,Potential Beef Cattle Topics in the 2023 Farm Bill,Applied Economic Perspectives and Policy,10.1002/aepp.13302,koontzstephen.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13302,1,Active CSU affiliation
Berning,Joshua,Ag and Food,2024,JA,a,U,1,Berning;Bonanno;Cleary,Disparities in Food Insecurity among Black and White Households,Applied Economic Perspectives and Policy,10.1002/aepp.13332,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13332,1,Active CSU affiliation
Bonanno,Alessandro,Ag and Food,2024,JA,a,N,1,Berning;Bonanno;Cleary,Disparities in Food Insecurity among Black and White Households,Applied Economic Perspectives and Policy,10.1002/aepp.13332,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13332,1,Active CSU affiliation
Cleary,Rebecca,Ag and Food,2024,JA,a,U,1,Berning;Bonanno;Cleary,Disparities in Food Insecurity among Black and White Households,Applied Economic Perspectives and Policy,10.1002/aepp.13332,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13332,1,Active CSU affiliation
Delay,Nathan,Ag and Food,2023,JA,a,N,0,NA,The Economics of Property Rights in Digital Farming Data,Applied Economic Perspectives and Policy,10.1002/aepp.13340,delaynathan.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13340,1,Active CSU affiliation
Magnan,Nicholas,Ag and Food,2023,JA,a,Y,0,NA,Coping with COVID-19 Shocks in Rural Nepal,Applied Economic Perspectives and Policy,10.1002/aepp.13383,magnannicholas.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13383,1,Active CSU affiliation
Thilmany,Dawn,Ag and Food,2024,JA,a,N,0,NA,Measuring the Economic Contribution of Agricultural and Applied Economics Departments,Applied Economic Perspectives and Policy,10.1002/aepp.13454,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13454,1,Active CSU affiliation
Countryman,Amanda,Ag and Food,2024,JA,a,Y,0,NA,Global Economic Effects of War-Induced Agricultural Export Declines from Ukraine,Applied Economic Perspectives and Policy,10.1002/aepp.13468,countrymanamanda.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13468,1,Active CSU affiliation
Countryman,Amanda,Ag and Food,2025,JA,a,Y,0,NA,U.S. Employment Exposure to Domestic and Foreign Tariff Changes under NAFTA,Applied Economic Perspectives and Policy,10.1002/aepp.13503,countrymanamanda.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13503,1,Active CSU affiliation
Thilmany,Dawn,Ag and Food,2025,JA,a,Y,0,NA,Exploring the Relationship between Growth in Online Shopping and Multichannel Food Consumers,Applied Economic Perspectives and Policy,10.1002/aepp.13531,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.13531,1,Active CSU affiliation
Chenarides,Lauren,Ag and Food,2025,JA,a,Y,0,NA,Relationship between Knowledge and Compliance with Safety Measures: COVID-19,Applied Economic Perspectives and Policy,10.1002/aepp.70031,chenarideslauren.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.70031,1,Active CSU affiliation
Bayham,Jude,ENRE,2025,JA,a,Y,1,Bayham;Berning;Costanigro,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,Applied Economic Perspectives and Policy,10.1002/aepp.70037,costanigromarco.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.70037,1,Active CSU affiliation
Berning,Joshua,Ag and Food,2025,JA,a,Y,1,Bayham;Berning;Costanigro,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,Applied Economic Perspectives and Policy,10.1002/aepp.70037,costanigromarco.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.70037,1,Active CSU affiliation
Costanigro,Marco,Ag and Food,2025,JA,a,Y,1,Bayham;Berning;Costanigro,Changes in Alcohol Retail Laws and Foot Traffic at Liquor Stores,Applied Economic Perspectives and Policy,10.1002/aepp.70037,costanigromarco.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1002/aepp.70037,1,Active CSU affiliation
Countryman,Amanda,Ag and Food,2026,JA,a,Y,0,NA,Quantitative Comparison of Ad-Valorem Equivalents for Non-Tariff Trade Measures: WTO Versus TRAINS,Applied Economic Perspectives and Policy,10.1002/aepp.70039,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,1,doi:10.1002/aepp.70039,1,Active CSU affiliation
Countryman,Amanda,Ag and Food,2026,JA,a,Y,0,NA,"Livestock Tango: US and Latin America Dance Together, but Who Will Lead?",Applied Economic Perspectives and Policy,10.1002/aepp.70047,Google Scholar,NA,NA,NA,0,0,0,0,NA,NA,1,doi:10.1002/aepp.70047,1,Active CSU affiliation
Bonanno,Alessandro,Ag and Food,2021,JA,a,N,0,NA,Competitive and Welfare Effects of Private Label Presence in Differentiated Food Markets,Applied Economics,10.1080/00036846.2020.1866160,bonannoalessandrocv.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.1080/00036846.2020.1866160,1,Active CSU affiliation
Thilmany,Dawn,Ag and Food,2023,JA,b,N,0,NA,Perspectives on Diversity Equity and Inclusion in the Agricultural and Applied Economics Profession,Applied Economics Teaching Resources,10.22004/ag.econ.333520,thilmanydawn.txt,NA,NA,NA,0,0,0,0,NA,NA,0,doi:10.22004/ag.econ.333520,1,Active CSU affiliation
